"","Tax","TaxLevel","SP","value","Vari"
"80","Universal_C",15,"Null",29336.3803080071,"CO2_Effect"
"81","Universal_C",30,"Null",28261.1775187771,"CO2_Effect"
"82","Universal_C",45,"Null",27354.3972465132,"CO2_Effect"
"83","Universal_C",60,"Null",26563.3990034067,"CO2_Effect"
"84","Universal_C",75,"Null",25858.8738771373,"CO2_Effect"
"85","Universal_C",90,"Null",25222.1282614708,"CO2_Effect"
"86","Universal_C",105,"Null",24640.2682411299,"CO2_Effect"
"87","Universal_C",120,"Null",24103.9309961571,"CO2_Effect"
"88","Universal_C",135,"Null",23606.0623354079,"CO2_Effect"
"89","Universal_C",150,"Null",23141.1957766863,"CO2_Effect"
"90","Universal_C",165,"Null",22704.9991002579,"CO2_Effect"
"91","Universal_C",180,"Null",22293.9750007863,"CO2_Effect"
"92","Universal_C",0,"Universal",30706.615004915,"CO2_Effect"
"93","Universal_C",15,"Universal",29624.8729576565,"CO2_Effect"
"94","Universal_C",30,"Universal",28807.6925548864,"CO2_Effect"
"95","Universal_C",45,"Universal",28137.7324459391,"CO2_Effect"
"96","Universal_C",60,"Universal",27567.2778073015,"CO2_Effect"
"97","Universal_C",75,"Universal",27070.1956644766,"CO2_Effect"
"98","Universal_C",90,"Universal",26630.0232742563,"CO2_Effect"
"99","Universal_C",105,"Universal",26235.5148870533,"CO2_Effect"
"100","Universal_C",120,"Universal",25878.5684988329,"CO2_Effect"
"101","Universal_C",135,"Universal",25553.1201434689,"CO2_Effect"
"102","Universal_C",150,"Universal",25254.4975930857,"CO2_Effect"
"103","Universal_C",165,"Universal",24979.0169236586,"CO2_Effect"
"104","Universal_C",180,"Universal",24723.7179171592,"CO2_Effect"
"105","Universal_C",0,"Cash",30706.615004915,"CO2_Effect"
"106","Universal_C",15,"Cash",29632.6667977859,"CO2_Effect"
"107","Universal_C",30,"Cash",28821.6888118401,"CO2_Effect"
"108","Universal_C",45,"Cash",28156.7753908121,"CO2_Effect"
"109","Universal_C",60,"Cash",27590.4900463389,"CO2_Effect"
"110","Universal_C",75,"Cash",27096.8898834487,"CO2_Effect"
"111","Universal_C",90,"Cash",26659.6488550939,"CO2_Effect"
"112","Universal_C",105,"Cash",26267.6231474339,"CO2_Effect"
"113","Universal_C",120,"Cash",25912.7888384345,"CO2_Effect"
"114","Universal_C",135,"Cash",25589.1430349276,"CO2_Effect"
"115","Universal_C",150,"Cash",25292.0620926461,"CO2_Effect"
"116","Universal_C",165,"Cash",25017.9012839067,"CO2_Effect"
"117","Universal_C",180,"Cash",24763.7323946946,"CO2_Effect"
"118","Universal_C",0,"SP_current",30706.615004915,"CO2_Effect"
"119","Universal_C",15,"SP_current",29631.1911057214,"CO2_Effect"
"120","Universal_C",30,"SP_current",28819.0504817875,"CO2_Effect"
"121","Universal_C",45,"SP_current",28153.2117164504,"CO2_Effect"
"122","Universal_C",60,"SP_current",27586.1851415914,"CO2_Effect"
"123","Universal_C",75,"SP_current",27091.9905805056,"CO2_Effect"
"124","Universal_C",90,"SP_current",26654.274621096,"CO2_Effect"
"125","Universal_C",105,"SP_current",26261.8726228224,"CO2_Effect"
"126","Universal_C",120,"SP_current",25906.7443829858,"CO2_Effect"
"127","Universal_C",135,"SP_current",25582.8740208502,"CO2_Effect"
"128","Universal_C",150,"SP_current",25285.6273657944,"CO2_Effect"
"129","Universal_C",165,"SP_current",25011.3510485025,"CO2_Effect"
"130","Universal_C",180,"SP_current",24757.1096848392,"CO2_Effect"
"131","Universal_C",0,"SP_covid",30706.615004915,"CO2_Effect"
"132","Universal_C",15,"SP_covid",29630.074131955,"CO2_Effect"
"133","Universal_C",30,"SP_covid",28817.0711947027,"CO2_Effect"
"134","Universal_C",45,"SP_covid",28150.5564285527,"CO2_Effect"
"135","Universal_C",60,"SP_covid",27582.9946752773,"CO2_Effect"
"136","Universal_C",75,"SP_covid",27088.3749892804,"CO2_Effect"
"137","Universal_C",90,"SP_covid",26650.3219843071,"CO2_Effect"
"138","Universal_C",105,"SP_covid",26257.6546599165,"CO2_Effect"
"139","Universal_C",120,"SP_covid",25902.3202566393,"CO2_Effect"
"140","Universal_C",135,"SP_covid",25578.2930327929,"CO2_Effect"
"141","Universal_C",150,"SP_covid",25280.9309347195,"CO2_Effect"
"142","Universal_C",165,"SP_covid",25006.574200533,"CO2_Effect"
"143","Universal_C",180,"SP_covid",24752.2822007919,"CO2_Effect"
"144","Universal_C",0,"PerfectTargeted",30706.615004915,"CO2_Effect"
"145","Universal_C",15,"PerfectTargeted",29653.1293144485,"CO2_Effect"
"146","Universal_C",30,"PerfectTargeted",28850.2705001601,"CO2_Effect"
"147","Universal_C",45,"PerfectTargeted",28190.2011466742,"CO2_Effect"
"148","Universal_C",60,"PerfectTargeted",27627.9386031386,"CO2_Effect"
"149","Universal_C",75,"PerfectTargeted",27138.361921759,"CO2_Effect"
"150","Universal_C",90,"PerfectTargeted",26702.135138736,"CO2_Effect"
"151","Universal_C",105,"PerfectTargeted",26310.6858116703,"CO2_Effect"
"152","Universal_C",120,"PerfectTargeted",25957.5042171865,"CO2_Effect"
"153","Universal_C",135,"PerfectTargeted",25634.6829899598,"CO2_Effect"
"154","Universal_C",150,"PerfectTargeted",25337.4918334571,"CO2_Effect"
"155","Universal_C",165,"PerfectTargeted",25061.8148848073,"CO2_Effect"
"156","Universal_C",180,"PerfectTargeted",24807.685568521,"CO2_Effect"
"157","Luxury",0,"Null",30706.615004915,"CO2_Effect"
"158","Luxury",15,"Null",29433.9890086136,"CO2_Effect"
"159","Luxury",30,"Null",28412.6789786231,"CO2_Effect"
"160","Luxury",45,"Null",27539.150495568,"CO2_Effect"
