"Cash","SP_current","SP_covid"
0.816845725986413,0.816845725986413,0.821270886068672
0.299893382948948,0.299737141895829,0.278177487510105
0.00413079208255976,0.00388641087514012,0.00307993956741579
0.00052883219870527,0.00052883219870527,0.00051855529854062
0.00363542257793399,0.0030136438239416,0.000263000953610857
0.0035851442782884,0.00288836370177889,0.00288030285710443
0.00432589638957366,0.00320827926002783,0.00305363861554694
0.00191971698986552,0.00254047729346256,0.00262045557464794
0,0,0
0.583980981791486,0.606103570987048,0.619894791268743
0.000857339604711284,0.000581233559599954,0.000832892425922557
0.190702546414346,0.156162707967755,0.136462045128279
0.261877284950675,0.261877284950675,0.265507335597436
0.0968138143251521,0.0889150008567499,0.100797963751126
0.00776464586786033,0.00541547362504867,0.00440183436274818
0.000559453560693519,0.000525610898647806,6.7054194154084e-05
0,0,0
0.120531367523232,0.104980916104558,0.099318370382011
0.0161528166037359,0.0157379269169944,0.0186123702358036
0.0145121523648279,0.0142013419706814,0.0120537273082522
0.0112101318874755,0.0111568312847345,0.010554050158161
0.105483216871097,0.0498404595540351,0.0212370153248824
0.8095173459663,0.8095173459663,0.809631344777331
0.00046956482934548,3.1387902388825e-07,9.948043348948e-06
0,0,0
0.00144000938107621,0.000110773346169667,0.000222292820669217
0.000710068947019046,0.000336276210094911,0
0.113507054342477,0.0993009264485019,0.0985339536669482
0.245842020323772,0.245842020323772,0.24541685856154
0.677621872714621,0.681535206264174,0.683239578646193
0.3566428597235,0.332140728292422,0.300050959963353
0.0221388001699482,0.0221388001699482,0.01658368322787
0.190417870565189,0.190417870565189,0.186923519773794
0.0336332872910216,0.0317762345219448,0.0196132891418788
0.0045610727501225,0.00443484948788733,0.005714468436138
0.000842646426035623,0.000842646426035623,0.000414550959616422
0,0,0
0.00072651467802451,0.00117762055554282,0.00143267225032381
0.176844280038442,0.126798047775963,0.0975977327368221
0.00067154477782426,0.00103481091115645,0.00103379911397873
0.0059115161350243,0.0036147087690464,0.0026035496611503
0,0,0
0.01311818424736,0.01311818424736,0.00684173446332296
0.0268246079415943,0.0171494346200736,0.0163944889120286
0.700902661849827,0.728816800934515,0.738625232086693
0.00381949665786553,0.00461693330087496,0.00475536852122405
0.00225390442359542,0.00148683060271532,0.000501440700872552
0.231990450972639,0.235286716407746,0.228968095425789
0.000296144781372405,0.000190875339522322,0.000325866879116549
0.0114471847807006,0.0073132827283232,0
1.35340842043109e-05,1.16561029990891e-05,5.84050337866164e-05
0.146534560592635,0.146534560592635,0.11359586092909
0.0295338274580751,0.0219701558113365,0.0173716117343739
0.00187012778923934,0.0021099079424769,0.00198421946867591
0.00831538548898322,0.00831538548898322,0.0216984427168017
0.265776871135539,0.265776871135539,0.256522756247869
0.147574014632262,0.147574014632262,0.14536041810176
0.128716686374731,0.128716686374731,0.122897122606948
0.26311777298883,0.26311777298883,0.260202506397436
0.00602354834418152,0.00635517862062845,0.00627507819370805
0.0701232327406502,0.0671698913888208,0.0684039840230062
0.0451058377668473,0.0451058377668473,0.0451058377668473
0.116115893570312,0.108402044848059,0.0960173047958607
0.00226610960047859,0.00220277704138534,0.00248442179651177
0.296089045364086,0.274809527105775,0.276235315254424
0.00469758709021047,0.0042940719497297,0.0034685972045667
0.0408557117591884,0.0280642794242687,0.0150143497019156
0.110219435714605,0.0626442559680329,0.0600854689428283
0.00153566601441298,0.00186467687030463,0.00179615468737214
0.000631652504249593,0.000631652504249593,0.000481641477058065
0.000881969229679185,0.000125115790816584,1.68859727161456e-06
0,0,0
0.00385061614228108,0.00247761577736056,0.00123016629745341
0.00768734353232534,0.0114631719094132,0.00977062766416056
0.000255168724521079,0.000150174142462406,3.93668953938471e-06
0.000377819150959216,5.04197699507404e-05,0
0.00439821700729374,0.00466033607459551,0.00542696313791021
0.000287401984196186,0.000252099976635201,6.27505988911125e-06
0.287229824402259,0.268909652238516,0.271581197151679
0.0135502223602406,0.0134351429799952,0.00525334582235401
0.0384747686393262,0.0384747686393262,0.0379030564980909
0.0111574499477748,0.0111574499477748,0.00498641011212496
0.00121075632652962,0.00121075632652962,0.00111252878360324
0.0768375520038087,0.0768375520038087,0.0732877085803722
0.000151878447702258,0.000150233655215454,0.000144271094350431
0.270162613956562,0.223252422284988,0.206767163344825
0.0490235288627356,0.0490235288627356,0.0485710317918654
0.00715823549276921,0.00627504365922979,0.00525673294045288
0.226354151802992,0.114433619987174,0.162991268360001
0.00762874615444235,0.00719216726355498,0.00688008406136089
0.000904255908088742,0.00133440231896625,0.00120447155253689
0.00470923449399584,0.00434241362180574,0.00529925986503848
0.007079038929857,0.007079038929857,0.00531000933519683
0.000581229274074628,0.000289404584915687,0
0.787658190659256,0.78465766797978,0.781533051372508
0,0,0
0.00786825898605724,0.007479875647201,0.00481433255598888
0.00573176007767663,0.00573176007767663,0.00193365360308459
0.0326499338342609,0.0287132934156891,0.0220602763345734
0.142812072386881,0.142812072386881,0.141012510990352
0.000630496435234685,0.00062363112074808,0
0.0178371452598213,0.0178371452598213,0.014035142600388
0.0232334864919584,0.0232334864919584,0.0106572424963941
0.00140767116687727,0.000527824297770224,0
0.64375286565381,0.64375286565381,0.629422473711028
0.043894919169296,0.0372913400617509,0.0229624033841159
0.000237179809817374,0.000229048999726259,0.000565838818139085
0.636612136494521,0.638084881508541,0.647855040807292
3.8343828612498e-06,2.10619029043886e-06,2.10619029043886e-06
0.0606783929743027,0.055913508675406,0.0404174159203803
0.494163075557951,0.469485081796953,0.480422079899291
0.350633635782578,0.332944143941322,0.322117485340986
