"","Tax","SP","value","Vari","Goal","PovertyRateLabel","TaxGDPShareLabel"
"1","Universal_P","Null",3.78422346165261,"NPLchg","2.0degree",0.2619639036978,NA
"2","Universal_P","Universal",-131.498940747908,"NPLchg","2.0degree",-9.10305012363191,NA
"3","Universal_P","Cash",-99.2360782746679,"NPLchg","2.0degree",-6.86964464861163,NA
"4","Universal_P","SP_current",-107.99885648154,"NPLchg","2.0degree",-7.47625036562911,NA
"5","Universal_P","SP_covid",-125.897463193333,"NPLchg","2.0degree",-8.71528630853442,NA
"6","Universal_P","PMT",-140.45264855082,"NPLchg","2.0degree",-9.72287299413338,NA
"7","Universal_C","Null",3.78422346165261,"NPLchg","2.0degree",0.2619639036978,NA
"8","Universal_C","Universal",-152.401735860325,"NPLchg","2.0degree",-10.5500518298823,NA
"9","Universal_C","Cash",-109.487171639096,"NPLchg","2.0degree",-7.57927938929985,NA
"10","Universal_C","SP_current",-121.324902878513,"NPLchg","2.0degree",-8.39874957065351,NA
"11","Universal_C","SP_covid",-132.334861385779,"NPLchg","2.0degree",-9.16091695832006,NA
"12","Universal_C","PMT",-153.57082942938,"NPLchg","2.0degree",-10.6309826518174,NA
"13","Luxury","Null",2.93574491796898,"NPLchg","2.0degree",0.203227744546638,NA
"14","Luxury","Universal",-159.45004640633,"NPLchg","2.0degree",-11.0379730543598,NA
"15","Luxury","Cash",-112.445108813026,"NPLchg","2.0degree",-7.78404339883254,NA
"16","Luxury","SP_current",-123.216839376202,"NPLchg","2.0degree",-8.52971939194052,NA
"17","Luxury","SP_covid",-137.626044591711,"NPLchg","2.0degree",-9.5272005623017,NA
"18","Luxury","PMT",-158.034885743217,"NPLchg","2.0degree",-10.9400081705665,NA
"19","CBDR_P","Null",2.61135676934532,"NPLchg","2.0degree",0.180771886274028,NA
"20","CBDR_P","Universal",-74.3841136213942,"NPLchg","2.0degree",-5.14926060123612,NA
"21","CBDR_P","Cash",-56.832526671175,"NPLchg","2.0degree",-3.93424719619718,NA
"22","CBDR_P","SP_current",-84.6786921006102,"NPLchg","2.0degree",-5.86190561088389,NA
