"","SP","GF","value","Vari","Goal","Tax","PovertyRateLabel","TaxGDPShareLabel"
"51","PerfectTargeted","His.PoverGap",-0.307449387098488,"LocalGiniChg","1.5degree","Luxury",NA,NA
"52","PerfectTargeted","Curren.PoverPop",-0.312056988206165,"LocalGiniChg","1.5degree","Luxury",NA,NA
"53","PerfectTargeted","Curren.Pop",-0.302210532016422,"LocalGiniChg","1.5degree","Luxury",NA,NA
"54","PerfectTargeted","Curren.PoverGap",-0.307393846041905,"LocalGiniChg","1.5degree","Luxury",NA,NA
"55","Universal","His.PoverPop",-0.00811273055522005,"InterGiniChg","1.5degree","Luxury",NA,NA
"56","Universal","His.Pop",-0.00525812822261352,"InterGiniChg","1.5degree","Luxury",NA,NA
"57","Universal","His.PoverGap",-0.00829628053086526,"InterGiniChg","1.5degree","Luxury",NA,NA
"58","Universal","Curren.PoverPop",-0.00816847669399246,"InterGiniChg","1.5degree","Luxury",NA,NA
"59","Universal","Curren.Pop",-0.00531350163832186,"InterGiniChg","1.5degree","Luxury",NA,NA
"60","Universal","Curren.PoverGap",-0.00835182586621772,"InterGiniChg","1.5degree","Luxury",NA,NA
"61","SP_covid","His.PoverPop",-0.00816528940123339,"InterGiniChg","1.5degree","Luxury",NA,NA
"62","SP_covid","His.Pop",-0.00531117647057157,"InterGiniChg","1.5degree","Luxury",NA,NA
"63","SP_covid","His.PoverGap",-0.00834884333775309,"InterGiniChg","1.5degree","Luxury",NA,NA
"64","SP_covid","Curren.PoverPop",-0.00822100970622602,"InterGiniChg","1.5degree","Luxury",NA,NA
"65","SP_covid","Curren.Pop",-0.00536653304558514,"InterGiniChg","1.5degree","Luxury",NA,NA
"66","SP_covid","Curren.PoverGap",-0.00840436539675274,"InterGiniChg","1.5degree","Luxury",NA,NA
"67","PerfectTargeted","His.PoverPop",-0.0082980698821968,"InterGiniChg","1.5degree","Luxury",NA,NA
"68","PerfectTargeted","His.Pop",-0.00541821345031508,"InterGiniChg","1.5degree","Luxury",NA,NA
"69","PerfectTargeted","His.PoverGap",-0.0084547452137202,"InterGiniChg","1.5degree","Luxury",NA,NA
"70","PerfectTargeted","Curren.PoverPop",-0.00835373566773842,"InterGiniChg","1.5degree","Luxury",NA,NA
"71","PerfectTargeted","Curren.Pop",-0.00547354318075765,"InterGiniChg","1.5degree","Luxury",NA,NA
"72","PerfectTargeted","Curren.PoverGap",-0.00851022874800889,"InterGiniChg","1.5degree","Luxury",NA,NA
