"","Tax","SP","value","Vari","Goal","PovertyRateLabel","TaxGDPShareLabel"
"58","CBDR_P","SP_current",2.08949997020845,"IPLchg","1.5degree",0.291091526105721,NA
"59","CBDR_P","SP_covid",3.52557511699641,"IPLchg","1.5degree",0.491153412701156,NA
"60","CBDR_P","PerfectTargeted",-63.462133091516,"IPLchg","1.5degree",-8.84100954052223,NA
"61","CBDR_C","Null",6.43553465935655,"IPLchg","1.5degree",0.896544451786463,NA
"62","CBDR_C","Universal",-6.07357071292711,"IPLchg","1.5degree",-0.846118685304694,NA
"63","CBDR_C","Cash",-26.9228279549654,"IPLchg","1.5degree",-3.75066149233342,NA
"64","CBDR_C","SP_current",-17.3168226683323,"IPLchg","1.5degree",-2.41243379262845,NA
"65","CBDR_C","SP_covid",-13.510433458473,"IPLchg","1.5degree",-1.88215972713528,NA
"66","CBDR_C","PerfectTargeted",-108.303214815384,"IPLchg","1.5degree",-15.087891137716,NA
"67","Luxury&CBDR_C","Null",3.72036538672754,"IPLchg","1.5degree",0.518289951440099,NA
"68","Luxury&CBDR_C","Universal",-9.48616269531099,"IPLchg","1.5degree",-1.3215322398831,NA
"69","Luxury&CBDR_C","Cash",-41.3302550726401,"IPLchg","1.5degree",-5.7577828164474,NA
"70","Luxury&CBDR_C","SP_current",-50.3004495948278,"IPLchg","1.5degree",-7.00743471889194,NA
"71","Luxury&CBDR_C","SP_covid",-20.3592900964663,"IPLchg","1.5degree",-2.83628471361895,NA
"72","Luxury&CBDR_C","PerfectTargeted",-108.925767948351,"IPLchg","1.5degree",-15.1746199934907,NA
"73","Universal_P","Null",0.000394977752211492,"LocalGiniChg","1.5degree",NA,NA
"74","Universal_P","Universal",-0.0252785962450046,"LocalGiniChg","1.5degree",NA,NA
"75","Universal_P","Cash",-0.0198415502481423,"LocalGiniChg","1.5degree",NA,NA
"76","Universal_P","SP_current",-0.0163053517536016,"LocalGiniChg","1.5degree",NA,NA
"77","Universal_P","SP_covid",-0.0224183930477666,"LocalGiniChg","1.5degree",NA,NA
"78","Universal_P","PerfectTargeted",-0.0686465081914126,"LocalGiniChg","1.5degree",NA,NA
