"","SP","GF","value","Vari","Goal","Tax","PovertyRateLabel","TaxGDPShareLabel"
"1","Universal","His.PoverPop",-286.921092942914,"NPLchg","2.0degree","Luxury",-19.894857374518,NA
"2","Universal","His.Pop",-227.507424346114,"NPLchg","2.0degree","Luxury",-15.775165612904,NA
"3","Universal","His.PoverGap",-249.906777786143,"NPLchg","2.0degree","Luxury",-17.3283171689642,NA
"4","Universal","Curren.PoverPop",-284.676317082654,"NPLchg","2.0degree","Luxury",-19.7392065817528,NA
"5","Universal","Curren.Pop",-225.262648485854,"NPLchg","2.0degree","Luxury",-15.6195148201388,NA
"6","Universal","Curren.PoverGap",-248.810406899325,"NPLchg","2.0degree","Luxury",-17.2522957715859,NA
"7","SP_covid","His.PoverPop",-246.586052809769,"NPLchg","2.0degree","Luxury",-17.0980610065213,NA
"8","SP_covid","His.Pop",-214.320852291783,"NPLchg","2.0degree","Luxury",-14.8608202519935,NA
"9","SP_covid","His.PoverGap",-200.292018046574,"NPLchg","2.0degree","Luxury",-13.8880731681995,NA
"10","SP_covid","Curren.PoverPop",-245.4497856009,"NPLchg","2.0degree","Luxury",-17.0192732331028,NA
"11","SP_covid","Curren.Pop",-213.184585082914,"NPLchg","2.0degree","Luxury",-14.7820324785749,NA
"12","SP_covid","Curren.PoverGap",-199.155750837705,"NPLchg","2.0degree","Luxury",-13.809285394781,NA
"13","PerfectTargeted","His.PoverPop",-555.197541119209,"NPLchg","2.0degree","Luxury",-38.4969114050021,NA
"14","PerfectTargeted","His.Pop",-435.186205763337,"NPLchg","2.0degree","Luxury",-30.1754304858368,NA
"15","PerfectTargeted","His.PoverGap",-532.227686788415,"NPLchg","2.0degree","Luxury",-36.9042018166711,NA
"16","PerfectTargeted","Curren.PoverPop",-550.441229141459,"NPLchg","2.0degree","Luxury",-38.1671128967939,NA
"17","PerfectTargeted","Curren.Pop",-430.429893785587,"NPLchg","2.0degree","Luxury",-29.8456319776286,NA
"18","PerfectTargeted","Curren.PoverGap",-527.471374810665,"NPLchg","2.0degree","Luxury",-36.5744033084629,NA
"19","Universal","His.PoverPop",-206.876510378197,"IPLchg","2.0degree","Luxury",-28.8202919263062,NA
"20","Universal","His.Pop",-138.270372569295,"IPLchg","2.0degree","Luxury",-19.2626630008459,NA
"21","Universal","His.PoverGap",-204.847059300096,"IPLchg","2.0degree","Luxury",-28.5375659057729,NA
"22","Universal","Curren.PoverPop",-207.06123453969,"IPLchg","2.0degree","Luxury",-28.8460261396798,NA
"23","Universal","Curren.Pop",-138.455096730788,"IPLchg","2.0degree","Luxury",-19.2883972142195,NA
"24","Universal","Curren.PoverGap",-204.908326452374,"IPLchg","2.0degree","Luxury",-28.5461011290852,NA
"25","SP_covid","His.PoverPop",-185.934146137047,"IPLchg","2.0degree","Luxury",-25.9027782368419,NA
"26","SP_covid","His.Pop",-137.172809412026,"IPLchg","2.0degree","Luxury",-19.1097597517422,NA
"27","SP_covid","His.PoverGap",-188.81206427795,"IPLchg","2.0degree","Luxury",-26.3037055379126,NA
"28","SP_covid","Curren.PoverPop",-186.078720629473,"IPLchg","2.0degree","Luxury",-25.9229191366918,NA
"29","SP_covid","Curren.Pop",-137.317383904452,"IPLchg","2.0degree","Luxury",-19.1299006515921,NA
"30","SP_covid","Curren.PoverGap",-188.956638770377,"IPLchg","2.0degree","Luxury",-26.3238464377625,NA
"31","PerfectTargeted","His.PoverPop",-440.611675055533,"IPLchg","2.0degree","Luxury",-61.3823052120543,NA
"32","PerfectTargeted","His.Pop",-306.77361342131,"IPLchg","2.0degree","Luxury",-42.7371144163584,NA
"33","PerfectTargeted","His.PoverGap",-471.342993149836,"IPLchg","2.0degree","Luxury",-65.6635334536698,NA
"34","PerfectTargeted","Curren.PoverPop",-440.772433641263,"IPLchg","2.0degree","Luxury",-61.4047007433882,NA
"35","PerfectTargeted","Curren.Pop",-306.934372007041,"IPLchg","2.0degree","Luxury",-42.7595099476923,NA
"36","PerfectTargeted","Curren.PoverGap",-471.503751735567,"IPLchg","2.0degree","Luxury",-65.6859289850037,NA
"37","Universal","His.PoverPop",-0.0359170575914723,"LocalGiniChg","2.0degree","Luxury",NA,NA
"38","Universal","His.Pop",-0.0277608532962546,"LocalGiniChg","2.0degree","Luxury",NA,NA
"39","Universal","His.PoverGap",-0.0327269834115913,"LocalGiniChg","2.0degree","Luxury",NA,NA
"40","Universal","Curren.PoverPop",-0.0359654284121739,"LocalGiniChg","2.0degree","Luxury",NA,NA
"41","Universal","Curren.Pop",-0.0278092241169562,"LocalGiniChg","2.0degree","Luxury",NA,NA
"42","Universal","Curren.PoverGap",-0.032775476157908,"LocalGiniChg","2.0degree","Luxury",NA,NA
"43","SP_covid","His.PoverPop",-0.0208229674117838,"LocalGiniChg","2.0degree","Luxury",NA,NA
"44","SP_covid","His.Pop",-0.0233003228577828,"LocalGiniChg","2.0degree","Luxury",NA,NA
"45","SP_covid","His.PoverGap",-0.0175954228740961,"LocalGiniChg","2.0degree","Luxury",NA,NA
"46","SP_covid","Curren.PoverPop",-0.0208278044710593,"LocalGiniChg","2.0degree","Luxury",NA,NA
"47","SP_covid","Curren.Pop",-0.0233051599170585,"LocalGiniChg","2.0degree","Luxury",NA,NA
"48","SP_covid","Curren.PoverGap",-0.0176002599333719,"LocalGiniChg","2.0degree","Luxury",NA,NA
"49","PerfectTargeted","His.PoverPop",-0.07935516541968,"LocalGiniChg","2.0degree","Luxury",NA,NA
"50","PerfectTargeted","His.Pop",-0.0683885487076711,"LocalGiniChg","2.0degree","Luxury",NA,NA
"51","PerfectTargeted","His.PoverGap",-0.0747820837412064,"LocalGiniChg","2.0degree","Luxury",NA,NA
"52","PerfectTargeted","Curren.PoverPop",-0.0792223153704057,"LocalGiniChg","2.0degree","Luxury",NA,NA
"53","PerfectTargeted","Curren.Pop",-0.0682556986583969,"LocalGiniChg","2.0degree","Luxury",NA,NA
"54","PerfectTargeted","Curren.PoverGap",-0.0746492336919321,"LocalGiniChg","2.0degree","Luxury",NA,NA
"55","Universal","His.PoverPop",-0.00582306010288943,"InterGiniChg","2.0degree","Luxury",NA,NA
"56","Universal","His.Pop",-0.00295096768794981,"InterGiniChg","2.0degree","Luxury",NA,NA
"57","Universal","His.PoverGap",-0.00599446421860185,"InterGiniChg","2.0degree","Luxury",NA,NA
"58","Universal","Curren.PoverPop",-0.00587682674077634,"InterGiniChg","2.0degree","Luxury",NA,NA
"59","Universal","Curren.Pop",-0.00300484748127479,"InterGiniChg","2.0degree","Luxury",NA,NA
"60","Universal","Curren.PoverGap",-0.00604816191230782,"InterGiniChg","2.0degree","Luxury",NA,NA
"61","SP_covid","His.PoverPop",-0.00582306010288943,"InterGiniChg","2.0degree","Luxury",NA,NA
"62","SP_covid","His.Pop",-0.00295096768795035,"InterGiniChg","2.0degree","Luxury",NA,NA
"63","SP_covid","His.PoverGap",-0.00600663187165735,"InterGiniChg","2.0degree","Luxury",NA,NA
"64","SP_covid","Curren.PoverPop",-0.00587682674077634,"InterGiniChg","2.0degree","Luxury",NA,NA
