"","Pop","PPop_npl_ori","PR_npl_ori","PPop_ipl_ori","PR_ipl_ori","Gini_ori","PPop_npl_tax","PR_npl_tax","PPop_ipl_tax","PR_ipl_tax","Gini_tax","CO2_ori","CO2_tax","IPL_Change_rate","NPL_Change_rate"
"Afghanistan",36296111,20146792.2613447,0.555067518427655,30118308.7903503,0.829794376327269,0.322913307273083,15473787.0512833,0.426320799252661,23255532.2583139,0.640716914776735,0.432842113049441,17.6391036073484,21.1638993366556,-0.227860620588205,-0.231947853010199
"Angola",29816769,9496876.06544852,0.318507886131073,9101689.61662985,0.305254054073728,0.520802267453499,8958357.47066538,0.300446955559315,8601179.63963205,0.28846786315553,0.48604454240932,24.8007798514595,21.4962384092033,-0.0549908860969405,-0.056704814411802
"Albania",2873457,453145.008301394,0.157700292122483,12615.7849393865,0.00439045544770166,0.356818246408467,637332.294778452,0.221799837192083,11382.2401569348,0.00396116599515316,0.325206620283854,7.46329645956141,6.83017045323538,-0.0977778860672036,0.406464339456106
"United Arab Emirates",9487206,38814.0358784394,0.00409119775394773,5078.07693418142,0.000535255262105769,0.393923873121619,40920.1100021584,0.00431318873039738,4919.64093964636,0.00051855529854062,0.442409567090136,250.990547585367,221.443478746463,-0.0311999988555908,0.0542606321670582
"Argentina",44044811,18434874.9816326,0.418548168628368,469267.363419145,0.0106543166553523,0.502613348834742,16232946.0222796,0.368555243029188,17126.6872891079,0.000388846878900398,0.451711569254109,196.278344779157,176.698341214579,-0.96350334878539,-0.119443661079709
"Armenia",2944789,752638.264186004,0.255583087340385,21874.4891861724,0.00742820255922322,0.366079975043305,508765.180099069,0.172767957262496,399.986133394299,0.00013582845269875,0.317365706799569,7.29830455803336,6.04614085133707,-0.981714492622431,-0.324024296520042
"Australia",24601860,246563.885666295,0.0100221644081502,123971.862078677,0.00503912558150795,0.314599957343005,88286.666119636,0.00358861753215553,37734.2950967533,0.00153379846469955,0.283321832171457,381.087333963713,328.978202276879,-0.695622099530894,-0.641931883572255
"Austria",8797566,62658.5292777772,0.00712225736956986,26864.5872604228,0.00305363861554694,0.127960344506615,37338.4798098298,0.00424418297172534,15339.1656877838,0.00174356926538361,0.126253494995078,81.6669338940465,70.5478716410467,-0.429019119516435,-0.404095815203367
"Azerbaijan",9854033,549153.135352998,0.0557287696675055,0,0,0.429445796262849,123141.515254503,0.0124965600637326,0,0,0.343195847016397,33.7393789330447,26.0359333022699,NA,-0.775761063122498
"Burundi",10827010,7046067.03578907,0.65078604672842,7046067.03578907,0.65078604672842,0.547509056327696,3268736.57180241,0.301905749768626,3268736.57180241,0.301905749768626,0.448980097939983,1.36793145777902,1.36878923695812,-0.536090622584269,-0.536090622584269
"Belgium",11375158,1818387.2886408,0.159856002759768,15192.9663280631,0.0013356268394745,0.132249017612084,1545492.79254772,0.135865611057685,3548.85033709197,0.000311982509349933,0.125453345619638,136.927246214185,121.985582311893,-0.766414914608424,-0.150075013061198
"Benin",11175192,4347839.54769217,0.389061731350313,2147617.43603388,0.192177229351754,0.447475388707769,2875399.52498636,0.257302024429322,1410195.99825907,0.126189867544027,0.402648312686258,11.2096782503942,9.13039402793077,-0.343367224256034,-0.338660156740922
"Burkina Faso",19193236,8021160.85743984,0.417916022990591,5794694.82400215,0.301913383652561,0.376373588652913,5794694.82400215,0.301913383652561,3227720.4532776,0.168169685053505,0.327066462863727,5.49860039856134,4.81099094214249,-0.442986981832402,-0.277574041090646
"Bangladesh",159685421,39267400.3030432,0.245904729793982,19777991.1018952,0.123855959911927,0.310566731785673,23918454.2283127,0.149784833696952,7724435.18990293,0.0483728266583768,0.271499728573987,120.389487665225,105.627143382204,-0.609442882742385,-0.390882664914818
