"","Pop","PPop_ipl_ori","PPop_npl_ori","PPop_ipl_tax","PPop_npl_tax","Size","ChgrateIPL"
"S172",7371975398,717815457.61987,1442187232.31669,326350719.057682,766220803.930457,172,-0.545355682169628
"S173",7371975398,717815457.61987,1442187232.31669,326339786.209675,766117306.437247,173,-0.54537091289208
"S174",7371975398,717815457.61987,1442187232.31669,325367121.25523,766117306.437247,174,-0.546725947733026
"S175",7371975398,717815457.61987,1442187232.31669,325394314.003701,766161133.997429,175,-0.546688065087589
"S176",7371975398,717815457.61987,1442187232.31669,325171884.034114,766152196.366571,176,-0.546997935775418
"S177",7371975398,717815457.61987,1442187232.31669,324736649.802766,766139391.642665,177,-0.547604267426162
"S178",7371975398,717815457.61987,1442187232.31669,324734303.508824,765584574.104838,178,-0.547607536085143
"S179",7371975398,717815457.61987,1442187232.31669,324734303.508824,765203025.342245,179,-0.547607536085143
"S180",7371975398,717815457.61987,1442187232.31669,324732125.077023,765161883.25853,180,-0.547610570892735
"S181",7371975398,717815457.61987,1442187232.31669,324342533.609973,764798784.105142,181,-0.548153316890909
"S182",7371975398,717815457.61987,1442187232.31669,324342268.961886,766594581.915382,182,-0.54815368557632
"S183",7371975398,717815457.61987,1442187232.31669,324340355.882714,766590649.265163,183,-0.548156350716993
"S184",7371975398,717815457.61987,1442187232.31669,324316193.744558,766588712.449472,184,-0.548190011371551
"S185",7371975398,717815457.61987,1442187232.31669,323991164.404977,766407997.655721,185,-0.548642814854857
"S186",7371975398,717815457.61987,1442187232.31669,323793671.358203,766311226.30261,186,-0.54891794552344
"S187",7371975398,717815457.61987,1442187232.31669,323629928.182333,766041409.288671,187,-0.549146058716227
"S188",7371975398,717815457.61987,1442187232.31669,323241224.778003,766015282.527439,188,-0.549687567540263
"S189",7371975398,717815457.61987,1442187232.31669,322679967.449233,765556258.056419,189,-0.550469463949448
"S190",7371975398,717815457.61987,1442187232.31669,322187556.601705,765303940.224953,190,-0.551155449243161
"S191",7371975398,717815457.61987,1442187232.31669,322010727.092976,765298640.189694,191,-0.551401793212007
"S192",7371975398,717815457.61987,1442187232.31669,321905920.920409,764453064.024141,192,-0.551547800338846
"S193",7371975398,717815457.61987,1442187232.31669,321905920.920409,760173875.541029,193,-0.551547800338846
"S194",7371975398,717815457.61987,1442187232.31669,321734367.453892,759915448.310848,194,-0.551786794170331
"S195",7371975398,717815457.61987,1442187232.31669,321574589.070895,759898627.491213,195,-0.552009383947831
"S196",7371975398,717815457.61987,1442187232.31669,321488514.307058,759835451.466703,196,-0.55212929605466
"S197",7371975398,717815457.61987,1442187232.31669,321478841.927859,759707845.389093,197,-0.552142770798197
"S198",7371975398,717815457.61987,1442187232.31669,321300066.780005,759639983.177704,198,-0.552391825267499
"S199",7371975398,717815457.61987,1442187232.31669,321224411.949609,759155543.651385,199,-0.552497221201221
"S200",7371975398,717815457.61987,1442187232.31669,321085710.305983,759067392.044364,200,-0.552690448641718
"S201",7371975398,717815457.61987,1442187232.31669,321085710.305983,759059462.820956,201,-0.552690448641718
"S202",7371975398,717815457.61987,1442187232.31669,320877782.312608,758953475.036164,202,-0.552980116398477
"S203",7371975398,717815457.61987,1442187232.31669,320490461.548372,758856890.554569,203,-0.553519699044858
"S204",7371975398,717815457.61987,1442187232.31669,320368892.166726,758850541.372261,204,-0.553689059261827
"S205",7371975398,717815457.61987,1442187232.31669,320313122.101159,758850541.372261,205,-0.553766753417025
"S206",7371975398,717815457.61987,1442187232.31669,320305168.371157,758501832.359471,206,-0.553777833883344
"S207",7371975398,717815457.61987,1442187232.31669,320308563.442841,758294978.169567,207,-0.553773104155601
"S208",7371975398,717815457.61987,1442187232.31669,320040449.471509,758274125.452731,208,-0.554146617944536
"S209",7371975398,717815457.61987,1442187232.31669,320033219.392445,757961621.332414,209,-0.554156690281357
"S210",7371975398,717815457.61987,1442187232.31669,319894811.579533,757961621.332414,210,-0.554349508381668
"S211",7371975398,717815457.61987,1442187232.31669,319711975.88842,757750140.167794,211,-0.554604219657627
"S212",7371975398,717815457.61987,1442187232.31669,319710579.293045,757699287.881572,212,-0.554606165276601
"S213",7371975398,717815457.61987,1442187232.31669,319674221.044861,757678442.336161,213,-0.554656816523796
"S214",7371975398,717815457.61987,1442187232.31669,319586681.392466,757673292.523553,214,-0.554778769389906
"S215",7371975398,717815457.61987,1442187232.31669,319553147.855741,757540896.105056,215,-0.554825485487155
"S216",7371975398,717815457.61987,1442187232.31669,319488132.902476,757535433.876946,216,-0.554916058840759
"S217",7371975398,717815457.61987,1442187232.31669,319140602.64287,757483169.907336,217,-0.555400208709526
"S218",7371975398,717815457.61987,1442187232.31669,318930411.726197,757276570.075933,218,-0.55569302898031
"S219",7371975398,717815457.61987,1442187232.31669,318861204.964862,757080653.853386,219,-0.555789442007642
"S220",7371975398,717815457.61987,1442187232.31669,318835110.304193,756837132.202609,220,-0.555825794889698
"S221",7371975398,717815457.61987,1442187232.31669,318834355.970272,756734636.063766,221,-0.555826845764144
"S222",7371975398,717815457.61987,1442187232.31669,316864860.873318,758218561.720675,222,-0.55857058034947
"S223",7371975398,717815457.61987,1442187232.31669,316864252.018082,758224821.933169,223,-0.558571428555273
"S224",7371975398,717815457.61987,1442187232.31669,316801444.97381,758073162.599822,224,-0.558658926036144
"S225",7371975398,717815457.61987,1442187232.31669,316697973.980666,756981984.585188,225,-0.558803073103536
"S226",7371975398,717815457.61987,1442187232.31669,316650120.85471,756952756.462968,226,-0.558869738045684
"S227",7371975398,717815457.61987,1442187232.31669,316561311.034242,755819548.273759,227,-0.558993460402908
"S228",7371975398,717815457.61987,1442187232.31669,316522255.807851,755571196.033323,228,-0.559047868852847
"S229",7371975398,717815457.61987,1442187232.31669,316502136.648264,755569975.149179,229,-0.559075897170395
"S230",7371975398,717815457.61987,1442187232.31669,316232850.777794,755539106.00472,230,-0.559451043550444
"S231",7371975398,717815457.61987,1442187232.31669,316219262.644804,755409821.07256,231,-0.559469973392154
"S232",7371975398,717815457.61987,1442187232.31669,316097468.339368,755388363.696892,232,-0.559639646953992
"S233",7371975398,717815457.61987,1442187232.31669,316096728.811773,755377059.120838,233,-0.559640677201512
"S234",7371975398,717815457.61987,1442187232.31669,316068456.590033,755376969.640412,234,-0.559680063678133
"S235",7371975398,717815457.61987,1442187232.31669,315663230.912862,755223246.636785,235,-0.560244589940238
"S236",7371975398,717815457.61987,1442187232.31669,315643872.579041,755063479.72145,236,-0.560271558339448
"S237",7371975398,717815457.61987,1442187232.31669,315177587.984555,755092551.670671,237,-0.560921146739276
"S238",7371975398,717815457.61987,1442187232.31669,315150122.271183,755085472.387998,238,-0.560959409656409
"S239",7371975398,717815457.61987,1442187232.31669,314879060.88143,755071041.373321,239,-0.561337029540287
"S240",7371975398,717815457.61987,1442187232.31669,314872593.84011,755054874.991151,240,-0.561346038877229
"S241",7371975398,717815457.61987,1442187232.31669,314853230.989499,755587506.35839,241,-0.561373013568852
"S242",7371975398,717815457.61987,1442187232.31669,314844490.515574,755480020.523348,242,-0.561385190060501
"S243",7371975398,717815457.61987,1442187232.31669,314527770.764088,755469963.712422,243,-0.561826417325982
"S244",7371975398,717815457.61987,1442187232.31669,314519541.76139,755345444.079955,244,-0.561837881279023
"S245",7371975398,717815457.61987,1442187232.31669,314438548.602224,755320840.916724,245,-0.561950714122487
"S246",7371975398,717815457.61987,1442187232.31669,314467981.699212,754579777.815669,246,-0.561909710412306
"S247",7371975398,717815457.61987,1442187232.31669,314465327.111405,754473887.685608,247,-0.561913408560316
"S248",7371975398,717815457.61987,1442187232.31669,314455789.804504,754469068.408816,248,-0.561926695132513
"S249",7371975398,717815457.61987,1442187232.31669,314453960.126251,754460986.779435,249,-0.561929244086054
"S250",7371975398,717815457.61987,1442187232.31669,314449598.84948,754461252.348117,250,-0.561935319849296
"S251",7371975398,717815457.61987,1442187232.31669,314345076.140279,754458449.72657,251,-0.562080932078862
"S252",7371975398,717815457.61987,1442187232.31669,314338876.406826,754240077.895037,252,-0.562089569025011
"S253",7371975398,717815457.61987,1442187232.31669,314336338.046698,754151036.129312,253,-0.562093105254415
"S254",7371975398,717815457.61987,1442187232.31669,314336336.629442,754283528.656219,254,-0.562093107228817
"S255",7371975398,717815457.61987,1442187232.31669,314175616.135749,754279603.466347,255,-0.56231700947554
"S256",7371975398,717815457.61987,1442187232.31669,314163875.937543,754277055.599815,256,-0.562333364930247
"S257",7371975398,717815457.61987,1442187232.31669,314103375.519792,754275838.285885,257,-0.562417649013446
"S258",7371975398,717815457.61987,1442187232.31669,314103375.519792,754217941.359862,258,-0.562417649013446
"S259",7371975398,717815457.61987,1442187232.31669,314062479.647516,754217941.359862,259,-0.562474621696107
"S260",7371975398,717815457.61987,1442187232.31669,314060349.784241,754098248.229155,260,-0.562477588842122
"S261",7371975398,717815457.61987,1442187232.31669,312972672.408121,754096387.232279,261,-0.563992849296009
"S262",7371975398,717815457.61987,1442187232.31669,312972672.408121,753105746.726855,262,-0.563992849296009
"S263",7371975398,717815457.61987,1442187232.31669,312919200.541059,753074770.272929,263,-0.564067341794735
"S264",7371975398,717815457.61987,1442187232.31669,312919200.541059,743894797.50877,264,-0.564067341794735
"S265",7371975398,717815457.61987,1442187232.31669,312912766.755501,743872088.058921,265,-0.564076304802552
"S266",7371975398,717815457.61987,1442187232.31669,312784442.254323,744189597.690289,266,-0.564255075682749
"S267",7371975398,717815457.61987,1442187232.31669,312762551.06827,744084455.209771,267,-0.564285572638228
"S268",7371975398,717815457.61987,1442187232.31669,312717469.310679,744076655.229475,268,-0.564348376743534
"S269",7371975398,717815457.61987,1442187232.31669,312715740.298595,744387218.373602,269,-0.564350785457453
"S270",7371975398,717815457.61987,1442187232.31669,312715740.298595,744315308.812406,270,-0.564350785457453
"S271",7371975398,717815457.61987,1442187232.31669,312714089.927617,744313352.145143,271,-0.564353084615212
"S272",7371975398,717815457.61987,1442187232.31669,312714089.927617,744265838.404471,272,-0.564353084615212
"S273",7371975398,717815457.61987,1442187232.31669,312671760.582124,744243697.329464,273,-0.564412054291948
"S274",7371975398,717815457.61987,1442187232.31669,312621947.87967,744277795.301472,274,-0.564481449150926
"S275",7371975398,717815457.61987,1442187232.31669,312614953.472001,744286040.199366,275,-0.564491193170221
"S276",7371975398,717815457.61987,1442187232.31669,312614953.472001,744276502.233021,276,-0.564491193170221
"S277",7371975398,717815457.61987,1442187232.31669,312515143.249578,744276303.176188,277,-0.564630240360364
"S278",7371975398,717815457.61987,1442187232.31669,312478859.553328,743650543.959182,278,-0.564680787748087
"S279",7371975398,717815457.61987,1442187232.31669,312473014.201129,743759445.187197,279,-0.564688931000141
