"","Tax","TaxLevel","SP","value","Vari"
"81","Universal_C",30,"Universal",28807.6925548864,"CO2_Effect"
"82","Universal_C",40,"Universal",28348.2744973424,"CO2_Effect"
"83","Universal_C",50,"Universal",27938.0917509608,"CO2_Effect"
"84","Universal_C",60,"Universal",27567.2778073015,"CO2_Effect"
"85","Universal_C",70,"Universal",27228.8887365783,"CO2_Effect"
"86","Universal_C",80,"Universal",26917.7850912709,"CO2_Effect"
"87","Universal_C",90,"Universal",26630.0232742563,"CO2_Effect"
"88","Universal_C",100,"Universal",26362.4939868073,"CO2_Effect"
"89","Universal_C",0,"Cash",30706.615004915,"CO2_Effect"
"90","Universal_C",10,"Cash",29951.0785669174,"CO2_Effect"
"91","Universal_C",20,"Cash",29341.4676426154,"CO2_Effect"
"92","Universal_C",30,"Cash",28821.6888118401,"CO2_Effect"
"93","Universal_C",40,"Cash",28365.7441608334,"CO2_Effect"
"94","Universal_C",50,"Cash",27958.611180121,"CO2_Effect"
"95","Universal_C",60,"Cash",27590.4900463389,"CO2_Effect"
"96","Universal_C",70,"Cash",27254.4893753951,"CO2_Effect"
"97","Universal_C",80,"Cash",26945.5119891702,"CO2_Effect"
"98","Universal_C",90,"Cash",26659.6488550939,"CO2_Effect"
"99","Universal_C",100,"Cash",26393.8193177453,"CO2_Effect"
"100","Universal_C",0,"SP_current",30706.615004915,"CO2_Effect"
"101","Universal_C",10,"SP_current",29950.0557191107,"CO2_Effect"
"102","Universal_C",20,"SP_current",29339.5738363232,"CO2_Effect"
"103","Universal_C",30,"SP_current",28819.0504817875,"CO2_Effect"
"104","Universal_C",40,"SP_current",28362.4662549896,"CO2_Effect"
"105","Universal_C",50,"SP_current",27954.7820679709,"CO2_Effect"
"106","Universal_C",60,"SP_current",27586.1851415914,"CO2_Effect"
"107","Universal_C",70,"SP_current",27249.7737389037,"CO2_Effect"
"108","Universal_C",80,"SP_current",26940.44224146,"CO2_Effect"
"109","Universal_C",90,"SP_current",26654.274621096,"CO2_Effect"
"110","Universal_C",100,"SP_current",26388.1843458084,"CO2_Effect"
"111","Universal_C",0,"SP_covid",30706.615004915,"CO2_Effect"
"112","Universal_C",10,"SP_covid",29949.2787511297,"CO2_Effect"
"113","Universal_C",20,"SP_covid",29338.1450302592,"CO2_Effect"
"114","Universal_C",30,"SP_covid",28817.0711947027,"CO2_Effect"
"115","Universal_C",40,"SP_covid",28360.0187884069,"CO2_Effect"
"116","Universal_C",50,"SP_covid",27951.9344897439,"CO2_Effect"
"117","Universal_C",60,"SP_covid",27582.9946752773,"CO2_Effect"
"118","Universal_C",70,"SP_covid",27246.2891225167,"CO2_Effect"
"119","Universal_C",80,"SP_covid",26936.7054171228,"CO2_Effect"
"120","Universal_C",90,"SP_covid",26650.3219843071,"CO2_Effect"
"121","Universal_C",100,"SP_covid",26384.0476952239,"CO2_Effect"
"122","Universal_C",0,"PerfectTargeted",30706.615004915,"CO2_Effect"
"123","Universal_C",10,"PerfectTargeted",29966.4660956456,"CO2_Effect"
"124","Universal_C",20,"PerfectTargeted",29364.8476021861,"CO2_Effect"
"125","Universal_C",30,"PerfectTargeted",28850.2705001601,"CO2_Effect"
"126","Universal_C",40,"PerfectTargeted",28396.6211413328,"CO2_Effect"
"127","Universal_C",50,"PerfectTargeted",27993.1475894716,"CO2_Effect"
"128","Universal_C",60,"PerfectTargeted",27627.9386031386,"CO2_Effect"
"129","Universal_C",70,"PerfectTargeted",27294.4432957092,"CO2_Effect"
"130","Universal_C",80,"PerfectTargeted",26986.2192779689,"CO2_Effect"
"131","Universal_C",90,"PerfectTargeted",26702.135138736,"CO2_Effect"
"132","Universal_C",100,"PerfectTargeted",26439.022406044,"CO2_Effect"
"133","Luxury",0,"Null",30706.615004915,"CO2_Effect"
"134","Luxury",10,"Null",29821.348730024,"CO2_Effect"
"135","Luxury",20,"Null",29072.9026182275,"CO2_Effect"
"136","Luxury",30,"Null",28412.6789786231,"CO2_Effect"
"137","Luxury",40,"Null",27817.1941537207,"CO2_Effect"
"138","Luxury",50,"Null",27272.4761623322,"CO2_Effect"
"139","Luxury",60,"Null",26769.194196123,"CO2_Effect"
"140","Luxury",70,"Null",26300.6550721388,"CO2_Effect"
"141","Luxury",80,"Null",25861.8217865705,"CO2_Effect"
"142","Luxury",90,"Null",25448.7715780618,"CO2_Effect"
"143","Luxury",100,"Null",25058.3697610116,"CO2_Effect"
"144","Luxury",0,"Universal",30706.615004915,"CO2_Effect"
"145","Luxury",10,"Universal",30019.2545523677,"CO2_Effect"
"146","Luxury",20,"Universal",29455.2425303036,"CO2_Effect"
"147","Luxury",30,"Universal",28969.212083284,"CO2_Effect"
"148","Luxury",40,"Universal",28539.5728824742,"CO2_Effect"
"149","Luxury",50,"Universal",28153.647726908,"CO2_Effect"
"150","Luxury",60,"Universal",27803.063123152,"CO2_Effect"
"151","Luxury",70,"Universal",27481.8672898979,"CO2_Effect"
"152","Luxury",80,"Universal",27185.6154846518,"CO2_Effect"
"153","Luxury",90,"Universal",26910.8688582665,"CO2_Effect"
"154","Luxury",100,"Universal",26654.8950648867,"CO2_Effect"
"155","Luxury",0,"Cash",30706.615004915,"CO2_Effect"
"156","Luxury",10,"Cash",30025.076173628,"CO2_Effect"
"157","Luxury",20,"Cash",29466.7596755996,"CO2_Effect"
"158","Luxury",30,"Cash",28986.2828998571,"CO2_Effect"
"159","Luxury",40,"Cash",28562.0607426352,"CO2_Effect"
"160","Luxury",50,"Cash",28181.4247513229,"CO2_Effect"
"161","Luxury",60,"Cash",27836.010168576,"CO2_Effect"
"162","Luxury",70,"Cash",27519.8731805864,"CO2_Effect"
"163","Luxury",80,"Cash",27228.5761547815,"CO2_Effect"
"164","Luxury",90,"Cash",26958.6865688617,"CO2_Effect"
"165","Luxury",100,"Cash",26707.4777246338,"CO2_Effect"
"166","Luxury",0,"SP_current",30706.615004915,"CO2_Effect"
"167","Luxury",10,"SP_current",30023.9336161925,"CO2_Effect"
"168","Luxury",20,"SP_current",29464.4394327853,"CO2_Effect"
"169","Luxury",30,"SP_current",28982.7752520622,"CO2_Effect"
"170","Luxury",40,"SP_current",28557.3654353991,"CO2_Effect"
"171","Luxury",50,"SP_current",28175.5460498744,"CO2_Effect"
"172","Luxury",60,"SP_current",27828.9548273943,"CO2_Effect"
"173","Luxury",70,"SP_current",27511.6494357089,"CO2_Effect"
"174","Luxury",80,"SP_current",27219.1931534384,"CO2_Effect"
"175","Luxury",90,"SP_current",26948.1540165312,"CO2_Effect"
"176","Luxury",100,"SP_current",26695.8056534064,"CO2_Effect"
"177","Luxury",0,"SP_covid",30706.615004915,"CO2_Effect"
"178","Luxury",10,"SP_covid",30023.0668404732,"CO2_Effect"
"179","Luxury",20,"SP_covid",29462.6951095931,"CO2_Effect"
"180","Luxury",30,"SP_covid",28980.1595119064,"CO2_Effect"
"181","Luxury",40,"SP_covid",28553.8889909336,"CO2_Effect"
"182","Luxury",50,"SP_covid",28171.2210106035,"CO2_Effect"
"183","Luxury",60,"SP_covid",27823.7936590998,"CO2_Effect"
"184","Luxury",70,"SP_covid",27505.6645602424,"CO2_Effect"
"185","Luxury",80,"SP_covid",27212.3967743948,"CO2_Effect"
"186","Luxury",90,"SP_covid",26940.5580364904,"CO2_Effect"
"187","Luxury",100,"SP_covid",26687.4216333581,"CO2_Effect"
"188","Luxury",0,"PerfectTargeted",30706.615004915,"CO2_Effect"
"189","Luxury",10,"PerfectTargeted",30041.4698701764,"CO2_Effect"
"190","Luxury",20,"PerfectTargeted",29493.0676640163,"CO2_Effect"
"191","Luxury",30,"PerfectTargeted",29020.0953267373,"CO2_Effect"
"192","Luxury",40,"PerfectTargeted",28600.0739574563,"CO2_Effect"
"193","Luxury",50,"PerfectTargeted",28225.2483245685,"CO2_Effect"
"194","Luxury",60,"PerfectTargeted",27884.7885078227,"CO2_Effect"
"195","Luxury",70,"PerfectTargeted",27572.9003499106,"CO2_Effect"
"196","Luxury",80,"PerfectTargeted",27283.8590796965,"CO2_Effect"
"197","Luxury",90,"PerfectTargeted",27017.4196088509,"CO2_Effect"
"198","Luxury",100,"PerfectTargeted",26769.951005737,"CO2_Effect"
"199","CBDR_P",0,"Null",30706.615004915,"CO2_Effect"
"200","CBDR_P",10,"Null",29814.8747713061,"CO2_Effect"
"201","CBDR_P",20,"Null",29099.4851952577,"CO2_Effect"
"202","CBDR_P",30,"Null",28492.1656034958,"CO2_Effect"
"203","CBDR_P",40,"Null",27959.9097067885,"CO2_Effect"
"204","CBDR_P",50,"Null",27483.5134579394,"CO2_Effect"
"205","CBDR_P",60,"Null",27050.6089733285,"CO2_Effect"
"206","CBDR_P",70,"Null",26652.6874437051,"CO2_Effect"
"207","CBDR_P",80,"Null",26283.612311304,"CO2_Effect"
"208","CBDR_P",90,"Null",25938.7965736003,"CO2_Effect"
"209","CBDR_P",100,"Null",25614.7129622207,"CO2_Effect"
"210","CBDR_P",0,"Universal",30706.615004915,"CO2_Effect"
"211","CBDR_P",10,"Universal",29940.5447801396,"CO2_Effect"
"212","CBDR_P",20,"Universal",29341.0020332372,"CO2_Effect"
