"","AFG","AGO","ALB","ARE","ARG","ARM","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BIH","BLR","BLZ","BOL","BRA","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CYP","CZE","DEU","DJI","DNK","DOM","DZA","ECU","EGY","ERI","ESP","EST","ETH","FIN","FJI","FRA","FSM","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GRC","GTM","GUY","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KOR","LAO","LBN","LBR","LCA","LKA","LSO","LTU","LUX","LVA","MAR","MDA","MDG","MDV","MEX","MHL","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MUS","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NRU","PAK","PAN","PER","PHL","PNG","POL","PRT","PRY","ROU","RUS","RWA","SDN","SEN","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TUN","TUR","TUV","TZA","UGA","UKR","URY","USA","UZB","VEN","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"pdr",41.2053787938013,34.8695891447583,34.3417673242792,37.5526309969566,25.2254964398732,25.4064201514562,38.351758017505,38.373143337088,36.1799715429843,45.788487925276,31.3059011353379,44.7601249441447,46.0914268798482,30.776578004086,25.5649563475488,40.9691638106099,43.4652506723451,21.8542974282629,26.5791288132272,25.1473180373716,29.0952014582332,31.3564655114375,48.3353038721096,33.8265824298392,32.0212103065988,24.4091187685894,34.9582850827053,34.1007202921155,42.3547644360092,38.131061331672,45.6849035157311,25.3961834989919,41.9401743425099,22.8702262236285,24.5114609693141,24.5280969606722,44.9140292956535,22.9939962955794,35.8680468058926,17.6717410580128,24.314234674508,38.5015353943432,26.5908382909037,37.8305433615507,39.5530018865445,36.6156356772273,36.770268148837,53.2251699412434,14.9140941447836,23.5378567290252,37.5743016562242,21.2390996476923,38.6628843915446,41.9779314116602,30.7454579809417,40.6949046151644,35.5670568314703,36.5752441469145,41.1566904685314,30.8804508560785,53.9122593668159,23.9890511210036,19.2749845610654,36.3887497903115,35.8467430250697,31.3853931165655,23.8998772314498,25.8168140748411,32.1738520767653,39.9145297665459,34.6514840385697,31.9289131879736,35.7480112219671,36.3873513557446,22.9634856421517,36.8374208957993,48.3066859415633,38.9010612156188,41.132789285669,43.4741609571545,23.9807316927626,21.2390996476923,35.8606829138489,22.7122205101504,36.741366580115,31.6402751151707,21.7412927673851,22.3830949619856,50.2718083151791,30.8936841428291,24.9213642581892,35.2806461398242,38.4963033712276,22.8851176936382,43.0293910861255,24.1281781224287,22.3793221175389,24.984842196487,25.242168925219,39.9921011060025,27.163353676084,21.4946078109055,32.5008301120171,27.5030414761111,31.115158294231,30.7037504893437,36.5150318047303,62.1100139717828,26.8933654809855,22.5998935577478,43.587961433248,34.6308697383468,22.0982074166783,41.3059793428188,35.8184630975715,34.459039457373,21.2390996476923,37.6279917200379,21.511803602047,29.7951694582934,21.8951562322492,36.872389617813,36.6689842544859,37.1086100325131,31.2570358540169,29.6085481612908,37.3069243526988,47.9231241458743,40.3051763707496,31.3638949351146,21.2390996476923,18.1969749013246,49.9232740121981,39.5530018865445,31.969676613202,39.5530018865445,30.3287138610814,23.9890511210036,36.309940430727,36.7973414475362,26.0077030357853,40.8643899275691,30.6291927039121,38.6767948607404,49.2516753204879,36.9798532934115,26.5251761146903,41.8632307156018,49.0689450353386,23.2324022338474,24.984842196487,37.2628378148368,24.2203149309685,24.984842196487,39.4551500314047,61.1421137854122,39.2393283762679,22.9736197285686,34.7629722890132,36.8234636933028,24.5120416044841,29.2190350765958,21.2390996476923,21.2390996476923,38.4802019146859,31.1215907651282,38.8085126125353,33.8863052666967
"wht",27.5042822094979,22.8965259954629,24.8606815075199,37.2902940347867,35.948891074729,26.9508370996042,4.57732009836072,4.20518617522024,19.9872951193262,14.798486530494,36.5306081782268,28.4867629465996,5.33171496640018,40.160617773498,27.1941336783349,30.7137893672356,36.4030389052101,31.0401453943776,28.6129869877778,35.8587148124676,23.3263728685895,25.6605001077922,4.91636952030327,34.8071809243602,3.96802250599858,34.7116003990923,34.9582801303398,20.7364927985758,19.8912877106618,34.9784611806795,30.5769641411345,5.67831545836108,22.7392630207706,33.1845554587242,34.8592063088298,18.6228100960527,4.77838997807694,29.8490584908404,35.8680465807612,26.5645248297941,34.5154234562557,38.501535152922,37.9601744717916,37.830543124314,4.66589942141278,34.5957111013802,37.2880996507102,30.9639007014772,35.585005777683,18.6745018104195,28.6457259523568,20.3041133991233,29.0336744749559,4.70207812193264,36.5614462885279,20.7771780542256,21.5879633119515,14.2405820484106,4.74205165672792,26.6747465558032,40.6386074613751,34.1057608028217,18.634638779769,33.0974635379304,29.3715001577144,30.4344273248817,22.9357243787186,28.6203138939641,33.778787320585,32.1884323331542,18.5301040442782,3.7641087680956,35.5131580659496,39.0871193123917,31.2061593846672,36.6442767570561,4.82565566626337,28.0369802883159,22.3516222979945,43.4741608361861,56.1941684608908,20.3041133991233,35.8606778348807,19.9438342925871,29.5198657784345,49.3838571869937,30.8447363893255,26.2796754263692,34.7959896696551,30.7700336597565,26.6129040749796,28.7335463464119,38.4963005629479,34.8729315441276,48.8044721583829,21.0366668735041,25.4249113117208,24.9883146557413,20.874681499068,26.0760981697565,67.9443740223188,20.6772690993627,32.5008263712269,18.2416665408019,11.8992784630173,17.2342702665003,36.515031542896,25.9650610104233,26.8970915084162,22.5998982444932,2.28076908440905,15.2422588633801,23.2867957092578,4.34541165009066,3.85202661545858,14.595493588291,20.3041133991233,23.634609395143,30.6924457376289,20.88770765882,14.8065878519043,25.2434039886309,35.5083493829771,4.18245542425774,31.3833736020657,26.9116793808075,37.3069249334142,37.6675297534137,4.97507487726268,15.5910756780031,20.3041133991233,26.4911148651173,88.3566738520911,4.66589942141278,36.2811103321119,4.66589942141278,29.0597316124186,34.1057608028217,38.315673536175,27.7549199127125,47.1042055714097,28.3233903109823,25.1664009729863,31.1431333070686,26.751756409747,20.4629770698625,26.5288518953883,33.0424133872557,35.4015346506577,22.1574971953698,24.9883146557413,37.2628375807723,27.1189500990145,24.9883146557413,24.0367510658421,23.0762641228561,6.08659805002307,32.6451973378491,35.7749240407862,29.1195195846382,34.9305118454364,22.5761234900918,20.3041133991233,20.3041133991233,30.9652551879366,25.4648270625535,4.54745448529296,18.3315805110565
"gro",27.5042822094979,22.8965259954629,24.8606815075199,37.2902940347867,35.948891074729,26.9508370996042,4.57732009836072,4.20518617522024,19.9872951193262,14.798486530494,36.5306081782268,28.4867629465996,5.33171496640018,40.1606177734979,27.1941336783349,30.7137893672356,36.4030389052101,31.0401453943776,28.6129869877778,35.8587148124676,23.3263728685895,25.6605001077922,4.91636952030327,34.8071809243602,3.96802250599858,34.7116003990923,34.9582801303398,20.7364927985758,19.8912877106618,34.9784611806795,30.5769641411346,5.67831545836108,22.7392630207706,33.1845554587242,34.8592063088298,18.6228100960527,4.77838997807694,29.8490584908404,35.8680465807612,26.5645248297941,34.5154234562557,38.501535152922,37.9601744717916,37.830543124314,4.66589942141278,34.5957111013802,37.2880996507102,30.9639007014772,35.585005777683,18.6745018104195,28.6457259523568,20.3041133991233,29.0336744749559,4.70207812193264,36.5614462885279,20.7771780542256,21.5879633119515,14.2405820484106,4.74205165672792,26.6747465558032,40.638607461375,34.1057608028217,18.634638779769,33.0974635379304,29.3715001577144,30.4344273248817,22.9357243787186,28.6203138939641,33.778787320585,32.1884323331542,18.5301040442782,3.7641087680956,35.5131580659496,39.0871193123918,31.2061593846672,36.6442767570561,4.82565566626337,28.0369802883159,22.3516222979945,43.4741608361861,56.1941684608908,20.3041133991233,35.8606778348807,19.9438342925871,29.5198657784345,49.3838571869937,30.8447363893255,26.2796754263692,34.7959896696551,30.7700336597565,26.6129040749796,28.7335463464118,38.4963005629479,34.8729315441276,48.8044721583829,21.0366668735041,25.4249113117208,24.9883146557413,20.874681499068,26.0760981697565,67.9443740223188,20.6772690993627,32.5008263712269,18.2416665408019,11.8992784630173,17.2342702665003,36.5150315428959,25.9650610104233,26.8970915084162,22.5998982444932,2.28076908440906,15.2422588633801,23.2867957092578,4.34541165009066,3.85202661545858,14.595493588291,20.3041133991233,23.634609395143,30.6924457376289,20.8877076588201,14.8065878519043,25.2434039886309,35.5083493829771,4.18245542425774,31.3833736020657,26.9116793808075,37.3069249334142,37.6675297534137,4.97507487726268,15.5910756780031,20.3041133991233,26.4911148651173,88.3566738520911,4.66589942141278,36.2811103321119,4.66589942141278,29.0597316124186,34.1057608028217,38.315673536175,27.7549199127126,47.1042055714097,28.3233903109823,25.1664009729863,31.1431333070686,26.751756409747,20.4629770698625,26.5288518953883,33.0424133872557,35.4015346506577,22.1574971953698,24.9883146557413,37.2628375807723,27.1189500990145,24.9883146557413,24.0367510658421,23.0762641228561,6.08659805002307,32.6451973378491,35.7749240407862,29.1195195846382,34.9305118454364,22.5761234900918,20.3041133991233,20.3041133991233,30.9652551879366,25.4648270625535,4.54745448529296,18.3315805110565
"v_f",49.1200926614642,41.5836082564655,49.862469137578,37.1576807648304,43.8735263248169,27.9081204616476,36.9105283640713,35.3939007732073,42.7445922034142,29.7874363232053,39.7856317251128,42.0057631690994,39.9896687522399,39.8546239620705,33.995721190993,50.788480354367,73.5583329844402,37.8602835200331,42.3321000388861,43.7486636933107,34.7124902511123,41.4804644368861,41.9548707288893,35.9124432711045,30.8021545155085,42.3677755482137,44.7306778111149,41.8165234576413,40.6271728963147,31.5727790955481,38.0311610982389,41.0595047199814,36.1208188422862,48.4415554279661,42.5535256820909,32.8413443273541,41.2063675315983,33.4162769738954,38.5765774631084,37.4839752483554,42.10007807935,41.3831677643885,46.2441126922658,40.7046970099171,34.3164535880459,40.6211151972569,39.8819474697082,36.5878716247634,39.3560324445296,22.8312905263254,47.0526224139444,36.0837701258187,36.6236407114567,37.6613138308935,40.2596398910868,37.0022902451061,36.0828520575563,71.0086950558846,35.7229865095549,33.2005782341279,46.3026289883132,41.6172474702274,31.9168704831167,35.4419085875513,38.4807698213847,35.8880940816644,40.3560490340722,37.3127097741272,38.4632839106083,46.3241152731914,38.4336801153876,30.7237819256514,35.3891692887995,36.7563355547662,38.3524608628319,36.4331706399284,39.426680237907,50.4584376634887,35.4595114156102,40.8494842590495,38.4177481323811,36.0837701258187,45.8928230201803,32.3880692016413,42.7459735414413,38.8721898397271,37.656562382392,30.1081487255794,35.3896029766215,32.2494486407021,37.9911936128008,35.7356460605756,45.7271189120385,45.5280765664862,43.7398667080864,30.1667511088522,32.9676069623485,41.2163659110065,29.9355008746493,44.4120777627647,33.700287673057,36.1355750724575,34.3015591312657,41.5438925869099,24.9184380772161,34.6742066342901,36.5150315581862,36.7709219094765,44.1836659748398,29.6921980682489,40.8178504241849,37.3936929734324,31.4062664643491,37.6926791736109,33.3836602726769,43.9738404017039,36.0837701258187,39.5893510642434,37.4437446399918,32.3704944014051,31.5457177636283,22.7400128632163,36.3470813480758,34.0406012103728,52.9865725598368,34.0870246511082,41.3343117782154,30.4120321453301,34.8850143829585,46.4272688251421,36.0837701258187,30.2129659290582,63.5769113329061,34.3164535880459,40.5497528605257,34.3164535880459,30.0327474443316,41.6172474702273,39.9214055340829,32.9741081603154,38.1653431683409,33.2952642090572,40.0675139092078,44.933549408958,36.6034703100555,43.4749980899503,43.6205652514511,41.0565934412631,63.603282134028,37.151101296691,41.2163659110065,40.1102700814657,33.8459908036372,41.2163659110065,33.9176716122848,37.9805343752162,46.4236042713927,39.8568041537493,36.9130137533253,36.0522289735289,42.6078291661093,46.1932649789033,36.0837701258187,36.0837701258187,44.7115281885033,41.1567302287597,33.6382828820351,29.2008227223372
"osd",36.2492273037489,31.0444820701793,43.0301120757719,42.650648446025,38.7052101254137,20.3939298323233,33.9345939655543,33.5028567154783,37.2827579461681,33.4398938011957,35.0139608270815,44.0994705044145,43.9809049755976,37.9994877630026,29.0061640977387,40.9106093601938,30.3254648072452,33.3982718010012,25.2336405776088,38.6047388643961,29.0700046588645,31.5617081256697,46.1083421425161,34.9160275234474,28.3462071483059,37.3761638570208,44.7306786860175,42.3160356813801,40.1032413006643,35.583168140584,37.7711564988386,30.2415051790423,29.4451740629361,28.9587468851074,37.533288760667,23.3929331712138,39.1931449022789,37.7376534776496,38.9058695898034,45.3814704402619,37.1317087215688,41.730213104343,40.8423025206332,41.0498429720804,37.7425457731755,40.6745872494764,30.1221862540802,48.3557879202708,22.4491665803044,26.8295298824315,38.8803698217271,32.883621242791,32.594791048988,36.6864837947973,27.2944589115836,38.4955336626755,36.4163212957389,37.2552573476488,39.2771088629187,32.7661599563034,47.9604931676684,36.7089938279849,60.0180702356868,39.7135114970053,34.3382580346261,30.6702353762421,36.781226653869,30.9691026702093,31.3101562900896,41.1459073385813,29.9162594861928,28.2521043600861,40.5748724740018,37.8861615183681,30.3774870758541,41.7998719320725,43.0111282353894,42.4458410866451,28.9176631766743,33.4947797680984,33.772881594074,32.883621242791,45.8928239118148,53.9122109073956,37.9005563388857,37.7535307505343,33.1992418315908,26.4074794826521,38.3804452976948,30.3126047599513,36.0623685473149,25.533715912171,38.8447866431864,35.1038950290143,41.6801794906773,19.4095269901974,26.5465799904801,29.0256357337575,33.7626681929125,37.6530096723486,34.2522660902156,32.9387936120928,30.9418761960993,26.3763490604351,30.9463987466134,32.8966825544501,36.5150310311164,56.7457200601848,31.1919153999765,33.0955263704999,36.7703870003457,30.0103054813571,24.5411964386964,36.216370882438,31.4555465787434,36.36061859073,32.883621242791,34.3018415897859,33.0422747974296,25.0945204989138,34.4770420698795,32.362118400654,35.9999004490735,32.4763218731567,21.5262735907572,31.6924129503764,36.8765476287683,35.6626302775436,38.424856282972,43.207160740883,32.883621242791,29.8851716088789,47.2108617557136,37.7425457731755,34.4219123802242,37.7425457731755,28.014234932938,36.7089938279849,38.6661290804033,37.2834134840362,36.725089009151,28.4639678208331,30.7638753038077,39.8809544296973,35.4949550327962,40.1973231413038,30.7786190350285,32.8214764788312,53.5246652092982,31.0288596291272,29.0256357337576,40.4554599354081,31.239098663979,29.0256357337576,38.8858689571919,40.3856329902073,40.7965821478375,35.1487698508841,35.8859883701241,28.7696363392289,37.6014741571467,34.6349585749045,32.883621242791,32.883621242791,39.6755123030107,31.3146324481852,37.0199388311183,23.8143004801538
"c_b",36.0983945956526,39.9195804930855,28.4625506582852,31.9044475083516,18.0477767743383,22.7326735786491,32.1792842322047,34.003087466584,36.4606242221521,57.5746418363867,35.4838567325329,41.9220892103801,34.0297357239732,46.2688772607965,27.0058255846121,34.5976114681385,56.8559393370393,15.6596974152969,25.4277056954543,18.0019270768319,27.4587501890574,26.7441460795692,35.8331916803064,32.7298654511088,26.8322774060514,17.4557518131536,44.7306793908719,37.8428136801422,36.8072763525143,45.0463957837424,44.9279888524269,5.67831545836108,23.8870034738522,26.9832893632357,17.5270257867809,24.9632728709113,40.0580490315145,26.9598908881593,40.3238953199179,24.7977636519456,17.4324556077526,43.2407942905746,19.1226568418925,42.5529518543459,29.1901304186551,33.9819866906206,25.8962050676927,52.189911079488,35.2087536923076,15.5103475483974,46.4089285645732,26.7972120957761,37.8995547649111,38.2641464145966,25.5948328222393,32.3344849513057,32.5975478075887,28.6172758197206,30.3974532158128,33.1046766693594,35.0152529329687,17.1726335075149,16.2810977643401,33.2841947157062,38.2275978192656,28.8825934340894,30.044812929887,31.9197223617514,31.0258308714186,35.1260498921866,23.0477426949021,26.7948834180969,30.3709176834208,30.283798551281,18.1394467802121,31.3364870582363,43.6545533480584,45.071043419738,23.4597659626608,40.6052712808177,29.7119673175901,26.7972120957761,45.8928246305046,55.8978184972203,32.2733072052036,40.7741878055186,15.5440224127756,24.7161601265172,37.0997849384574,31.0609679514856,36.1828675617012,30.4040032951167,36.0949866927971,25.8080422738246,41.8998353197299,15.2932733509988,23.0322062063686,36.4908536355852,25.2178765422459,34.150572521017,24.6963596319391,26.951005906531,34.9988847143021,26.8670481023297,36.5004569429623,28.4375918772249,36.5150345557138,44.5484080089334,39.1497745136662,31.1896219217098,27.2391286922771,22.8016955927209,22.590730639949,37.2200453794251,31.5909459721467,44.5582541055215,26.7972120957761,28.2790664783324,15.4042257590097,26.5494448912466,22.5985205225522,38.488268617239,29.8040236886811,33.1755799882935,28.030548272326,29.0151657948104,40.5755241422766,51.0431067875087,29.6940930398251,32.1486905552344,26.7972120957761,40.49257226807,46.4593068696789,29.1901304186551,29.2327665190688,29.1901304186551,39.4039404598317,17.1726335075149,36.2686278640965,30.3618207173957,34.7717156599314,20.6424946029339,26.2041918549129,34.0087296552326,32.2845515559264,45.1824851975265,38.6445145476624,28.7296095107881,56.8286531717095,30.4515640473773,36.4908536355852,41.9436686784824,26.7886518290302,36.4908536355852,42.1998674112267,45.5421086046938,34.4692805002351,16.4183380111756,33.6321360988229,25.1281855486915,17.5615318314257,43.7976146365596,26.7972120957761,26.7972120957761,33.8236426091655,26.542626954868,28.6301008743625,19.2551309326799
"pfb",42.858495944399,52.6061543768819,64.2125887219623,57.0050055671788,54.0750705919002,52.1751044316533,56.4481906845553,49.6874248104787,123.514280732904,53.1846625476734,64.8566949499982,63.0050187562348,53.0163558727547,44.5517498901632,65.1620568014742,56.4732722836446,100.238927871058,46.5740014947843,53.5986031207369,53.9395950715626,53.4277129536977,43.0857838340882,55.5270358953116,54.3086033869033,47.2809881874652,52.1664123667946,45.4757964538622,4.91320232338913,56.9041113436996,58.6909953412526,53.1902888644648,5.67831545836108,42.6193814351321,45.4278117139868,52.392575687392,75.8338133397698,58.5987131306086,64.5746754088371,77.4652929974793,84.2615154306625,51.7709804061159,82.7907064111605,57.0466708446743,81.9250752276046,45.5035665275652,52.4637016480905,67.6077166396494,49.2426770415612,51.6883044697397,44.9514871739438,58.1602490047117,58.3755283861178,64.6330166885421,51.8762359131484,51.2327522200277,52.2015183808711,53.0632482458158,59.6243580211306,47.3426946981973,56.6010486648587,64.052705374451,51.2269229614003,82.2645237514729,70.7059274690116,4.70086030153519,65.4277598977953,65.037427974939,45.0865547119217,44.3204263908934,68.876093615212,56.4249814536237,46.9479734918417,54.239771837994,72.0097167015356,60.9968858423128,55.8832870552297,56.2451103700482,65.0624511414382,41.8284280610161,73.9039216334606,41.4178629261226,58.3755283861177,46.6726326859581,50.0516500547912,63.8460729314354,34.7414797233761,46.2977973750243,45.6484242611849,63.8033533133605,60.6304363698491,68.0980122455516,67.4043689172887,72.956968942911,64.8051534645712,48.2603378249198,51.9214512813938,60.9781977264463,61.3172820273679,42.6227544904049,70.3231859287067,65.671668152456,58.0866089991309,37.2565359766683,52.4457345530481,64.9791348885343,47.8318943904751,53.7082964449895,55.7910240491217,65.6045483728923,51.843220562224,40.2816185586986,41.7062245755159,61.2067460495355,50.4104338579564,46.8221501502723,36.3958990658793,58.3755283861177,64.3375840335149,46.1793421944276,57.8118829376354,52.4204490607354,28.4964779982905,61.5495873731714,50.6989015948517,39.0703557081916,56.8160735823319,64.4963442517026,44.3415460422499,46.3618874031858,56.9605931417202,58.3755283861177,45.3851756665741,58.9016206795883,45.5035665275652,56.2308867201213,45.5035665275652,3.96006419533404,51.2269229614003,62.5757817516069,57.9203278585649,35.4200944286059,58.8973634580856,41.4970477006247,66.9335655587072,41.3263862586348,60.6859052770307,64.7976270950839,62.5541647868136,81.9729372179972,4.97005229223529,61.3172820273679,80.9168063718617,58.931514521429,61.3172820273679,34.7181328589019,53.2726755004664,62.3608830730914,49.0506428036073,55.8737375315861,55.0384164788556,52.515087474915,52.0734969889794,58.3755283861177,58.3755283861177,66.6582152086618,42.773424618535,44.6338261269331,34.5368437039225
"ocr",27.5042822094979,22.8965259954629,24.8606815075199,37.2902940347867,35.948891074729,26.9508370996042,4.57732009836072,4.20518617522024,19.9872951193262,14.798486530494,36.5306081782268,28.4867629465996,5.33171496640018,40.1606177734979,27.1941336783349,30.7137893672356,36.4030389052101,31.0401453943776,28.6129869877778,35.8587148124676,23.3263728685895,25.6605001077922,4.91636952030327,34.8071809243602,3.96802250599858,34.7116003990923,34.9582801303398,20.7364927985758,19.8912877106617,34.9784611806795,30.5769641411346,5.67831545836108,22.7392630207706,33.1845554587242,34.8592063088298,18.6228100960527,4.77838997807694,29.8490584908404,35.8680465807612,26.5645248297941,34.5154234562557,38.501535152922,37.9601744717916,37.830543124314,4.66589942141278,34.5957111013802,37.2880996507102,30.9639007014772,35.585005777683,18.6745018104195,28.6457259523568,20.3041133991233,29.0336744749559,4.70207812193264,36.5614462885279,20.7771780542256,21.5879633119515,14.2405820484106,4.74205165672792,26.6747465558032,40.6386074613751,34.1057608028217,18.634638779769,33.0974635379304,29.3715001577144,30.4344273248817,22.9357243787186,28.6203138939641,33.778787320585,32.1884323331542,18.5301040442782,3.7641087680956,35.5131580659496,39.0871193123917,31.2061593846672,36.6442767570561,4.82565566626337,28.0369802883159,22.3516222979945,43.4741608361861,56.1941684608908,20.3041133991233,35.8606778348807,19.9438342925871,29.5198657784345,49.3838571869937,30.8447363893255,26.2796754263692,34.7959896696551,30.7700336597565,26.6129040749796,28.7335463464119,38.4963005629479,34.8729315441276,48.8044721583829,21.0366668735041,25.4249113117208,24.9883146557413,20.874681499068,26.0760981697565,67.9443740223188,20.6772690993627,32.5008263712269,18.2416665408019,11.8992784630173,17.2342702665003,36.515031542896,25.9650610104233,26.8970915084162,22.5998982444932,2.28076908440905,15.2422588633801,23.2867957092578,4.34541165009066,3.85202661545858,14.595493588291,20.3041133991233,23.634609395143,30.6924457376289,20.88770765882,14.8065878519043,25.2434039886309,35.5083493829771,4.18245542425774,31.3833736020657,26.9116793808075,37.3069249334142,37.6675297534137,4.97507487726268,15.5910756780031,20.3041133991233,26.4911148651173,88.3566738520911,4.66589942141278,36.2811103321119,4.66589942141278,29.0597316124186,34.1057608028217,38.315673536175,27.7549199127125,47.1042055714097,28.3233903109823,25.1664009729863,31.1431333070686,26.751756409747,20.4629770698625,26.5288518953883,33.0424133872557,35.4015346506577,22.1574971953698,24.9883146557413,37.2628375807723,27.1189500990145,24.9883146557413,24.0367510658421,23.0762641228561,6.08659805002307,32.6451973378491,35.7749240407862,29.1195195846382,34.9305118454364,22.5761234900918,20.3041133991233,20.3041133991233,30.9652551879366,25.4648270625535,4.54745448529296,18.3315805110565
"ctl",59.254665361019,53.4918523344304,48.7422318655341,48.5726154414899,42.6275672049949,38.1945128645422,39.4181625047619,38.3168759104411,50.6530805428579,53.1620529647269,34.2844885021054,49.1170914899473,58.5005317966506,54.2271754691746,44.7832247541663,56.2756945078678,83.2322031360378,36.8205668584976,50.3967880637904,42.4972241097701,35.7232486939727,57.7233574445254,61.1720596995611,35.7437533320086,32.861766856875,41.2044757702928,34.8130662486765,58.1090868541629,49.7030260482436,46.5390449023374,61.3227576307656,43.8051962601997,42.06963102018,53.4292369208762,41.384426056623,36.8677261253236,44.6151578591752,35.3247779019115,41.1825283352847,43.6160079456813,40.9355072332595,44.1503427347949,44.8513161580695,43.46141082727,50.2182879684733,41.6893918602394,25.267682480279,79.8105749147472,46.9149690586336,38.1086081992891,45.6074099788212,63.7676604809262,65.9533274039598,40.4156941067892,57.4254875424771,52.6858106646724,50.5366426638964,54.4250469718243,52.2351181378879,31.544631698453,50.9424511681826,40.4667725195477,59.9391338977573,46.204615645019,46.2611005895663,44.9535123675252,70.976899128636,50.1866704071502,41.0663525702198,58.6598645106104,53.4110603315608,32.8109929241901,46.2443220210008,37.1676694513287,48.710960823789,47.5687519523377,46.8697224100791,49.6289584237803,41.2766157765552,44.1919122622175,43.3488637277018,63.7676604809262,35.7120615261347,46.6840093907691,54.2966993081567,59.7796182755512,36.6516061111996,35.2670743280516,64.8881955098992,32.7493421533137,34.7584504431895,56.9562777291602,47.5380259737927,68.8815241480625,43.8193217039862,253.078460709229,52.2174905500481,32.7536456322677,31.5220779343639,48.7333036183621,31.9292725813187,63.3301680498383,35.4827238951717,39.1734578676723,58.5169777412502,41.8196609076127,36.5150315248776,69.5467899807353,35.1686757884455,37.177300869571,57.5879129606727,43.3732054001728,64.7421420777357,40.558557535969,36.0538876545265,53.1565635817204,63.7676604809262,60.036823569098,36.3579040178234,58.8540266902818,52.8794530049055,45.1640727329889,43.9519516529527,36.744467336948,40.6487173823139,36.7281587093444,46.1103894227098,57.5958381797004,51.178608579788,61.0656040032849,63.7676604809262,72.356737302329,88.6477203918666,50.2182879684733,52.6111126732279,50.2182879684733,85.8629237245011,40.4667725195477,41.3003682367536,30.2889584498673,37.1773151683272,47.7938962491821,55.4724404068239,56.9683761779464,47.8942915396285,49.756971883669,34.7081615603783,53.9752666375493,62.5596239836088,58.4575270318764,32.7536456322677,42.8473018781547,32.7575743373084,32.7536456322677,45.8788645026363,53.1306535941579,51.9588921286552,38.7789512053061,36.7407232351925,47.6014159684106,41.3865070850757,59.6712224258935,63.7676604809262,63.7676604809262,56.7119559307316,57.3227545567101,49.260939251463,34.0723379643697
"oap",51.0110709452486,53.3665233420819,64.5016502632796,36.0048314789358,39.6797982942826,36.4774653858276,33.4507697298625,33.2041914075319,48.0011443382377,53.1620531069659,38.3205109958982,49.1170918370344,50.2726813023458,50.2545719115942,32.0796376259389,47.2877730012088,60.2730782935678,34.2600211219807,49.6275996676788,39.568006478794,37.9170697512902,40.44845639034,52.6191345994998,34.5087274079302,27.8873362081909,38.3313573807213,34.8130712034736,51.7243166140798,52.6824842432596,42.701940386608,53.4797139409292,48.1138690766343,50.8091110847467,46.141865799556,38.4968187102775,29.9661128237379,38.8126345377428,29.5773737943999,41.182528205231,35.6369189164198,38.0950776525075,44.1503425950573,41.8250841627899,43.4614106906757,43.1582871044668,39.0643166850264,37.6597581297251,58.253314936696,35.8178258692499,38.5761209823041,45.7065846925897,49.6970499362769,42.8313113285923,35.8439645497241,52.5863548937117,47.3255483664402,43.7273109773023,70.1794743908776,44.9010107375479,30.8195660080911,51.5528182411912,37.6522478975542,40.6632809007647,35.1139947086669,59.6757447447062,34.6898236078939,55.3685108814843,37.0101400471376,35.784516329046,45.0782297857369,45.4650559263206,27.8501316973136,34.2761239073248,34.2311270387062,34.3320714227386,35.3078237563353,44.1339362841793,64.7163341655766,49.880227364743,44.191912186222,43.3488641817999,49.6970499362769,35.7120666161528,33.9529612994264,41.5836893212963,34.4201597769406,34.0751565275902,43.9944433083668,50.7172053813288,28.7196602094922,36.1363237378421,33.3387946424199,47.5380259465895,52.2459959504904,48.9393855806702,42.4608579978582,38.4991131947178,32.7536385339882,30.6618708717169,46.3609952847569,31.4920203727537,49.4419243276795,35.4827241072216,34.5033537483732,45.5423139202597,51.374635473948,36.515031810838,59.6465697853238,35.1686681635198,37.1773007744719,45.2622078954479,66.0429719581126,49.4924964970794,35.6714705870166,31.2324693098588,59.1210930001193,49.6970499362769,49.3882971633125,33.8612311282032,53.5603945763546,46.1884614092408,47.742057880423,32.6907791512404,32.0838751325954,48.2130055762142,32.7851664991315,46.1103893188668,47.4183583027263,43.9258282303692,64.0418675649136,49.6970499362769,41.7316611139198,83.5945251711351,43.1582871044668,40.6027525247878,43.1582871044668,46.0783458384836,37.6522478975542,36.8417329735041,32.943630481791,37.7379464820994,41.2605084530908,39.075004297979,43.7174496427738,38.1249958188536,37.0649871681025,34.7081540395076,60.0313986944109,81.5423355077419,56.4006130955595,32.7536385339882,42.8473017435789,31.3806784736076,32.7536385339882,42.1770344818032,50.9623916538222,50.1227746827924,36.060764638363,35.4667337826701,52.6457824958178,38.5391161812027,43.9399541895025,49.6970499362769,49.6970499362769,43.5011219730219,40.1475770813723,42.3105812927092,41.2430901076846
