"","SP","GF","value","Vari","Goal","Tax","PovertyRateLabel","TaxGDPShareLabel"
"1","Universal","His.PoverPop",-243.156751289632,"NPLchg","2.0degree","Luxury",-16.9525651713728,NA
"2","Universal","His.Pop",-168.113774293982,"NPLchg","2.0degree","Luxury",-11.7206686625349,NA
"3","Universal","His.PoverGap",-224.522545151905,"NPLchg","2.0degree","Luxury",-15.6534131129118,NA
"4","Universal","Curren.PoverPop",-243.447403013487,"NPLchg","2.0degree","Luxury",-16.9728290228377,NA
"5","Universal","Curren.Pop",-168.404426017837,"NPLchg","2.0degree","Luxury",-11.7409325139998,NA
"6","Universal","Curren.PoverGap",-224.81319687576,"NPLchg","2.0degree","Luxury",-15.6736769643767,NA
"7","SP_covid","His.PoverPop",-216.50134941086,"NPLchg","2.0degree","Luxury",-15.0941860183269,NA
"8","SP_covid","His.Pop",-179.454589264947,"NPLchg","2.0degree","Luxury",-12.5113351929607,NA
"9","SP_covid","His.PoverGap",-195.4973346029,"NPLchg","2.0degree","Luxury",-13.6298140524904,NA
"10","SP_covid","Curren.PoverPop",-216.407337632878,"NPLchg","2.0degree","Luxury",-15.0876316422519,NA
"11","SP_covid","Curren.Pop",-179.360577486965,"NPLchg","2.0degree","Luxury",-12.5047808168857,NA
"12","SP_covid","Curren.PoverGap",-195.403322824918,"NPLchg","2.0degree","Luxury",-13.6232596764154,NA
"13","PerfectTargeted","His.PoverPop",-582.53890214131,"NPLchg","2.0degree","Luxury",-40.6138371689605,NA
"14","PerfectTargeted","His.Pop",-449.739688429173,"NPLchg","2.0degree","Luxury",-31.3552526829369,NA
"15","PerfectTargeted","His.PoverGap",-547.673911020092,"NPLchg","2.0degree","Luxury",-38.1830963770761,NA
"16","PerfectTargeted","Curren.PoverPop",-580.062821024939,"NPLchg","2.0degree","Luxury",-40.4412080880393,NA
"17","PerfectTargeted","Curren.Pop",-447.263607312801,"NPLchg","2.0degree","Luxury",-31.1826236020158,NA
"18","PerfectTargeted","Curren.PoverGap",-545.537891091154,"NPLchg","2.0degree","Luxury",-38.0341759096796,NA
"19","Universal","His.PoverPop",-205.146520160652,"IPLchg","2.0degree","Luxury",-29.0127212473685,NA
"20","Universal","His.Pop",-128.249943065733,"IPLchg","2.0degree","Luxury",-18.13766982371,NA
"21","Universal","His.PoverGap",-182.270622627547,"IPLchg","2.0degree","Luxury",-25.7775114183565,NA
"22","Universal","Curren.PoverPop",-205.105024930452,"IPLchg","2.0degree","Luxury",-29.0068528097954,NA
"23","Universal","Curren.Pop",-128.208447835532,"IPLchg","2.0degree","Luxury",-18.1318013861369,NA
"24","Universal","Curren.PoverGap",-182.229127397347,"IPLchg","2.0degree","Luxury",-25.7716429807834,NA
"25","SP_covid","His.PoverPop",-190.93602350241,"IPLchg","2.0degree","Luxury",-27.0030104416021,NA
"26","SP_covid","His.Pop",-135.930695558947,"IPLchg","2.0degree","Luxury",-19.2239155513058,NA
"27","SP_covid","His.PoverGap",-172.369379358863,"IPLchg","2.0degree","Luxury",-24.377234139796,NA
"28","SP_covid","Curren.PoverPop",-190.875232028969,"IPLchg","2.0degree","Luxury",-26.9944130446207,NA
"29","SP_covid","Curren.Pop",-135.869904085506,"IPLchg","2.0degree","Luxury",-19.2153181543244,NA
"30","SP_covid","Curren.PoverGap",-172.308587885422,"IPLchg","2.0degree","Luxury",-24.3686367428146,NA
"31","PerfectTargeted","His.PoverPop",-447.198957182598,"IPLchg","2.0degree","Luxury",-63.2448392334032,NA
"32","PerfectTargeted","His.Pop",-297.64998182498,"IPLchg","2.0degree","Luxury",-42.0949667837884,NA
"33","PerfectTargeted","His.PoverGap",-456.933123396577,"IPLchg","2.0degree","Luxury",-64.6214877416039,NA
"34","PerfectTargeted","Curren.PoverPop",-447.090124743818,"IPLchg","2.0degree","Luxury",-63.2294476722569,NA
"35","PerfectTargeted","Curren.Pop",-297.5411493862,"IPLchg","2.0degree","Luxury",-42.0795752226421,NA
"36","PerfectTargeted","Curren.PoverGap",-456.853639959818,"IPLchg","2.0degree","Luxury",-64.6102468451331,NA
"37","Universal","His.PoverPop",-0.0444919575886971,"LocalGiniChg","2.0degree","Luxury",NA,NA
"38","Universal","His.Pop",-0.0363576647828564,"LocalGiniChg","2.0degree","Luxury",NA,NA
"39","Universal","His.PoverGap",-0.0425615348488999,"LocalGiniChg","2.0degree","Luxury",NA,NA
"40","Universal","Curren.PoverPop",-0.04453947000885,"LocalGiniChg","2.0degree","Luxury",NA,NA
"41","Universal","Curren.Pop",-0.0364051772030093,"LocalGiniChg","2.0degree","Luxury",NA,NA
"42","Universal","Curren.PoverGap",-0.0426090472690528,"LocalGiniChg","2.0degree","Luxury",NA,NA
"43","SP_covid","His.PoverPop",-0.0302263172405552,"LocalGiniChg","2.0degree","Luxury",NA,NA
"44","SP_covid","His.Pop",-0.0328017320717921,"LocalGiniChg","2.0degree","Luxury",NA,NA
"45","SP_covid","His.PoverGap",-0.0269033755255489,"LocalGiniChg","2.0degree","Luxury",NA,NA
"46","SP_covid","Curren.PoverPop",-0.0302320982297689,"LocalGiniChg","2.0degree","Luxury",NA,NA
"47","SP_covid","Curren.Pop",-0.0328075130610058,"LocalGiniChg","2.0degree","Luxury",NA,NA
"48","SP_covid","Curren.PoverGap",-0.0269091565147625,"LocalGiniChg","2.0degree","Luxury",NA,NA
"49","PerfectTargeted","His.PoverPop",-0.101506481086101,"LocalGiniChg","2.0degree","Luxury",NA,NA
"50","PerfectTargeted","His.Pop",-0.0899008990496635,"LocalGiniChg","2.0degree","Luxury",NA,NA
"51","PerfectTargeted","His.PoverGap",-0.0941811288905267,"LocalGiniChg","2.0degree","Luxury",NA,NA
"52","PerfectTargeted","Curren.PoverPop",-0.101659680575092,"LocalGiniChg","2.0degree","Luxury",NA,NA
"53","PerfectTargeted","Curren.Pop",-0.0900540985386546,"LocalGiniChg","2.0degree","Luxury",NA,NA
"54","PerfectTargeted","Curren.PoverGap",-0.0943101851392343,"LocalGiniChg","2.0degree","Luxury",NA,NA
"55","Universal","His.PoverPop",-0.00591524245058874,"InterGiniChg","2.0degree","Luxury",NA,NA
"56","Universal","His.Pop",-0.00304289656649062,"InterGiniChg","2.0degree","Luxury",NA,NA
"57","Universal","His.PoverGap",-0.00612956350639298,"InterGiniChg","2.0degree","Luxury",NA,NA
"58","Universal","Curren.PoverPop",-0.00596928295323289,"InterGiniChg","2.0degree","Luxury",NA,NA
"59","Universal","Curren.Pop",-0.0030969735600208,"InterGiniChg","2.0degree","Luxury",NA,NA
"60","Universal","Curren.PoverGap",-0.00618359467530917,"InterGiniChg","2.0degree","Luxury",NA,NA
"61","SP_covid","His.PoverPop",-0.00591524245058928,"InterGiniChg","2.0degree","Luxury",NA,NA
"62","SP_covid","His.Pop",-0.00304289656649062,"InterGiniChg","2.0degree","Luxury",NA,NA
"63","SP_covid","His.PoverGap",-0.00612956350639244,"InterGiniChg","2.0degree","Luxury",NA,NA
"64","SP_covid","Curren.PoverPop",-0.00596928295323289,"InterGiniChg","2.0degree","Luxury",NA,NA
"65","SP_covid","Curren.Pop",-0.0030969735600208,"InterGiniChg","2.0degree","Luxury",NA,NA
"66","SP_covid","Curren.PoverGap",-0.00618359467530917,"InterGiniChg","2.0degree","Luxury",NA,NA
"67","PerfectTargeted","His.PoverPop",-0.00593304990488731,"InterGiniChg","2.0degree","Luxury",NA,NA
"68","PerfectTargeted","His.Pop",-0.00306073138735243,"InterGiniChg","2.0degree","Luxury",NA,NA
"69","PerfectTargeted","His.PoverGap",-0.00613717245867633,"InterGiniChg","2.0degree","Luxury",NA,NA
"70","PerfectTargeted","Curren.PoverPop",-0.00598378525868945,"InterGiniChg","2.0degree","Luxury",NA,NA
"71","PerfectTargeted","Curren.Pop",-0.0031113283862427,"InterGiniChg","2.0degree","Luxury",NA,NA
"72","PerfectTargeted","Curren.PoverGap",-0.00618359467530917,"InterGiniChg","2.0degree","Luxury",NA,NA
