"","Secnam","Elas","TaxRate"
"1","pdr",0.681889138714106,33.296066417655
"2","wht",0.517505808298346,26.4090042425465
"3","gro",0.517505808298346,26.4090042425465
"4","v_f",0.78655474654516,38.8719338070638
"5","osd",0.719485920745048,35.334850589163
"6","c_b",0.653023215834705,31.9210587293828
"7","pfb",1.10115160514157,54.689635115447
"8","ocr",0.517505808298346,26.4090042425465
"9","ctl",1.00379235140868,49.4500435591383
"10","oap",0.877743552126495,43.2965687032932
"11","rmk",0.877412227423583,43.1668065511833
"12","wol",1.10115160514157,54.689635115447
"13","frs",1.06067277063131,52.6907962321856
"14","fsh",1.03769144354814,51.5637809991339
"15","coa",0.575051940415581,30.0976405524232
"16","oil",0.575051940415581,30.0976405524232
"17","gas",1.13223679875488,55.3690774585478
"18","oxt",0.575051940415581,30.0976405524232
"19","cmt",1.00379235140868,49.4500435591383
"20","omt",0.877743552126495,43.2965687032932
"21","vol",0.719222744861903,35.3221506272458
"22","mil",0.954410231783726,46.8044830962643
"23","pcr",0.681889138714106,33.296066417655
"24","sgr",0.653023215834705,31.9210587293828
"25","ofd",0.801866992180716,39.6255085094153
"26","b_t",0.916328691292418,45.2376215472988
"27","tex",1.10115160514157,54.689635115447
"28","wap",0.995240782210187,49.1853604119153
"29","lea",0.976324809269188,48.2281478358952
"30","lum",1.0193231593603,50.2904967685806
"31","ppp",1.05277229472559,52.3597513502092
"32","p_c",0.611777199436835,31.8825573411771
"33","chm",0.934134105361505,46.2196442853038
"34","bph",0.915083474853274,45.2877243376052
"35","rpp",0.934134105361505,46.2196442853038
"36","nmm",1.0193231593603,50.2904967685806
"37","i_s",1.0193231593603,50.2904967685806
"38","nfm",1.0193231593603,50.2904967685806
"39","fmp",1.0193231593603,50.2904967685806
"40","ele",1.20682649237524,59.6965221915176
"41","eeq",1.20682649237524,59.6965221915176
"42","ome",1.20682649237524,59.6965221915176
"43","mvh",1.76914401038244,87.6956093329042
"44","otn",1.31656765990173,64.9789648055961
"45","omf",1.01945406158234,50.3069421725812
"46","ely",1.07185726135371,52.1787703178063
"47","gdt",1.13223679875488,55.3690774585478
"48","wtr",0.945096306277571,46.6261667560474
"49","cns",0.993787991787615,49.040335612375
"50","trd",1.07659302359942,53.4780016696012
"51","afs",1.21691077389337,60.3425142341483
"52","otp",1.02942223412662,50.5848334898363
"53","wtp",1.0419541805072,53.1795353485065
"54","atp",1.82407705186624,89.6052882751051
"55","whs",1.02942223412662,50.5848334898363
"56","cmn",1.04381779881589,51.8779433157627
"57","ofi",1.17620339044476,59.4226304169334
"58","ins",1.49099805587215,74.4396061588732
"59","rsa",1.05944785766797,52.6418083242045
"60","obs",1.06080514760026,52.7073064627293
"61","ros",1.20751051716953,59.7195899748555
"62","osg",1.17793295440921,58.2588020269761
"63","edu",1.2051630411968,59.5988732419346
"64","hht",1.15885331859254,57.3158162537512
"65","dwe",1.06473588763826,52.9041395589799
