"","Pop","PPop_npl_ori","PR_npl_ori","PPop_ipl_ori","PR_ipl_ori","Gini_ori","PPop_npl_tax","PR_npl_tax","PPop_ipl_tax","PR_ipl_tax","Gini_tax","CO2_ori","CO2_tax","IPL_Change_rate","NPL_Change_rate"
"Afghanistan",36296111,19781380.2525623,0.544999993320559,30270956.633255,0.834000001632545,0.322913307273083,14367496.8691728,0.395841220266622,23324680.6636649,0.642622033629578,0.320482786365087,17.6391036073484,19.7646539448847,-0.229469985165883,-0.27368582547157
"Angola",29816769,9630816.51341296,0.32300000423966,9279576.77300636,0.311220064555162,0.520802267453499,8534026.75687236,0.286215678059295,8248137.288253,0.276627467189788,0.497862614513179,24.8007798514595,24.5392134226974,-0.111151565419852,-0.113883361292689
"Albania",2873457,485997.273625117,0.169133303064955,11280.328365281,0.00392569938066969,0.356818246408467,488588.005417022,0.170034911055576,8494.0312921453,0.0029560321564392,0.353008901539279,7.46329645956141,7.29264718357986,-0.24700496146118,0.00533075375625256
"United Arab Emirates",9487206,37948.824293718,0.00400000003095937,0,0,0.393923873121619,37650.1126083217,0.00396851429265072,4932.68373351498,0.000519930075674016,0.39107538301785,250.990547585367,244.0223600437,Inf,-0.00787143451623912
"Argentina",44044811,18498820.6237836,0.420000000085904,484492.919762656,0.0109999999719072,0.502613348834742,18421229.0035926,0.418238348294709,159055.815666467,0.00361122711291615,0.494435969241632,196.278344779157,190.826297508636,-0.671706625260105,-0.00419440902579735
"Armenia",2944789,777424.29962292,0.264000001230282,23135.8695378447,0.0078565457619696,0.366079975043305,738517.173471962,0.25078780634944,16232.5267381963,0.0055122885674309,0.364338969270454,7.29830455803336,6.924796532839,-0.298382681850631,-0.0500461924972359
"Australia",24601860,246018.599711681,0.0099999999882806,122294.362748915,0.00497093970736012,0.314599957343005,221276.984202956,0.00899431929955525,107006.234178974,0.00434951805184542,0.311019136732722,381.087333963713,368.019310064508,-0.125010901780724,-0.100568068990396
"Austria",8797566,61582.9619466311,0.00699999999393367,27984.1443521715,0.00318089621063047,0.127960344506615,59847.1858556415,0.00680269813896725,26773.5066050776,0.00304328567754736,0.133729836669445,81.6669338940465,78.7703987148015,-0.0432615602556339,-0.0281859793053447
"Azerbaijan",9854033,591241.955890529,0.0599999975533397,0,0,0.429445796262849,318806.124040714,0.0323528573570552,0,0,0.420447740237611,33.7393789330447,31.4288218569252,NA,-0.460785688727843
"Burundi",10827010,7026729.74384098,0.64900002344516,7051944.78318029,0.651328924899884,0.547509056327696,3148081.57128033,0.290761860502607,3158209.05654054,0.291697251276256,0.431315735647618,1.36793145777902,1.83566885288304,-0.552150626012666,-0.551984822806133
"Belgium",11375158,1683523.3844332,0.148000000038083,16820.2849365135,0.00147868582893649,0.132249017612084,1688112.33866509,0.148403418982408,14423.2596668206,0.00126796125968717,0.13502511458564,136.927246214185,132.943681652024,-0.142508006180647,0.0027258036771729
"Benin",11175192,4302448.67069034,0.384999977690794,2244222.87905069,0.20082186319937,0.447475388707769,3665693.13819425,0.328020595815647,1640357.63082023,0.146785632928743,0.432507744985069,11.2096782503942,10.8633081328313,-0.269075435362239,-0.147998403056815
"Burkina Faso",19193236,7945999.86902568,0.414000008598117,5989023.31496903,0.312038226121381,0.376373588652913,5510573.23336046,0.287110169090843,3119149.22260441,0.162512940632023,0.333235985180182,5.49860039856134,5.71099661671161,-0.479188999847709,-0.306497190512016
"Bangladesh",159685421,38803557.9381454,0.243000003977479,21506916.7132071,0.134683032292642,0.310566731785673,34426197.3798367,0.215587604455367,17232494.8199301,0.107915266854136,0.300555876313547,120.389487665225,117.581342560217,-0.198746382397631,-0.112808226639589
"Bulgaria",7075947,2107298.28838696,0.297811485640998,97065.4606701263,0.0137176636102738,0.278459827508464,2171024.14912514,0.306817468972724,85250.2753213346,0.0120478962492702,0.27933074151412,36.3541532271001,34.8313090833444,-0.12172388888098,0.0302405507038865
"Bosnia and Herzegovina",3351534,566409.254467661,0.169000002526503,2512.9385618746,0.000749787578426655,0.312310921417696,423646.15212105,0.126403656391685,211.947821301928,6.32390485377525e-05,0.299093518211807,15.2759585335237,14.8463967334831,-0.915657380360378,-0.252049381645057
